trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y	L_um	F_pN_abs	F_pN	
75	80.09999999999999	80.84999999999999	0.013	-0.229	0.327	-0.111	0.75	0.335	0.447	20.609	1.264662232872022e-14	14.79201016296055	2.760648659138474	2.760648659138474
542	77.7	78.75	0.119	-0.016	-0.175	-0.105	1.05	0.307	0.293	-163.177	1.018360585483626e-14	14.89716313670302	3.215684916422537	-3.215684916422537
560	71.25	74.25	0.08599999999999999	-0.169	0.535	0.255	3	0.618	0.206	43.393	9.982236352519857e-15	14.90626449781192	3.260361241964021	3.260361241964021
603	97.95	99.3	-0.046	0.065	-0.575	-0.219	1.35	0.6	0.445	-151.793	1.00475457296004e-14	14.90330314270783	3.245721499942968	-3.245721499942968
715	69.45	70.2	0.008999999999999999	-0.258	0.021	-0.268	0.75	0.016	0.021	-40.231	2.501586498551194e-15	15.36620939048174	7.774698805231956	7.774698805231956
719	107.4	108.6	0.026	0.012	0.291	0.031	1.2	0.266	0.221	4.115	1.496392548451768e-14	14.70133153045513	2.44258860277231	2.44258860277231
768	84.75	85.8	0.07199999999999999	-0.024	0.192	-0.097	1.05	0.14	0.134	-31.257	1.196909321774826e-14	14.81990879081031	2.871316524181898	2.871316524181898
801	142.5	144.45	0.07000000000000001	0.057	0.244	0.026	1.95	0.177	0.091	-10.265	1.962201646062887e-14	14.53576532868344	1.990092238515361	1.990092238515361
855	77.84999999999999	78.75	0.049	-0.246	0.143	-0.116	0.9	0.16	0.178	54.101	1.07513763265306e-14	14.87195278756875	3.096688722468581	3.096688722468581
871	87	87.90000000000001	0.058	0.04	-0.044	-0.161	0.9	0.225	0.25	-116.938	1.641924676263149e-14	14.64752119645556	2.279589357476857	-2.279589357476857
909	114.9	122.25	5.561	0.023	8.535	-0.064	7.35	2.975	0.405	-1.693	1.300786603248393e-14	14.77741321151284	2.705319489510515	2.705319489510515
911	90	91.34999999999999	0.062	-0.077	0.198	-0.294	1.35	0.256	0.19	-57.966	8.802365667757274e-15	14.96147697652825	3.552813588160345	3.552813588160345
916	143.4	145.5	0.187	-0.165	0.704	-0.422	2.1	0.578	0.275	-26.485	1.847311850391033e-14	14.57491517879604	2.08475028174619	2.08475028174619
917	79.65000000000001	80.40000000000001	0.224	0.022	-0.192	-0.178	0.75	0.461	0.615	-154.4	1.442915062089115e-14	14.72167102751419	2.508876378757063	-2.508876378757063
921	91.8	93.59999999999999	0.145	-0.145	0.374	-0.225	1.8	0.243	0.135	-19.312	1.760331578795235e-14	14.60522749816866	2.162868559277304	2.162868559277304
1016	72.59999999999999	73.95	0.105	-0.343	0.167	-0.362	1.35	0.065	0.048	-16.236	1.096147491597223e-14	14.86278409682356	3.055069357804804	3.055069357804804
1050	67.65000000000001	71.09999999999999	0.008999999999999999	-0.097	0.282	-0.045	3.45	0.278	0.081	10.722	1.105018939319675e-14	14.85893741492755	3.03786152825191	3.03786152825191
1112	85.2	85.95	0.035	-0.135	0.261	0.011	0.75	0.269	0.359	32.902	1.349941997829205e-14	14.75784097671738	2.633748422073767	2.633748422073767
1120	74.09999999999999	75.15000000000001	0.029	-0.055	0.112	-0.047	1.05	0.083	0.079	4.971	9.441824241513554e-15	14.93113571253649	3.387383786836539	3.387383786836539
1168	106.65	107.55	0.047	0.005	0.186	-0.023	0.9	0.142	0.157	-11.281	8.786355448249945e-15	14.96225027756567	3.557189370676814	3.557189370676814
1198	80.7	82.34999999999999	0.045	0.03	0.181	-0.159	1.65	0.232	0.141	-54.179	1.439524166906062e-14	14.72297176574408	2.513208830226656	2.513208830226656
1256	93.3	94.05	0.163	-0.231	0.354	0.177	0.75	0.45	0.601	64.907	2.417409572493959e-14	14.38895787343298	1.688018528206588	1.688018528206588
90	76.34999999999999	78.45	0.068	-0.128	0.314	-0.235	2.1	0.268	0.128	-23.335	1.429672274732199e-14	14.72675859787439	2.525887174346397	2.525887174346397
142	77.7	80.25	0.052	-0.032	0.193	-0.112	2.55	0.162	0.064	-29.5	1.03559219e-14	14.88944291203436	3.178514850180457	3.178514850180457
169	101.4	102.15	0.048	-0.06	0.293	0.095	0.75	0.29	0.387	32.349	1.41298675450366e-14	14.73319846245221	2.547673463931851	2.547673463931851
272	166.65	168.15	0.065	0.006	0.274	0.154	1.5	0.256	0.171	35.311	1.919608286918625e-14	14.55016694995658	2.02413204176914	2.02413204176914
291	82.34999999999999	84.3	0.044	0.073	0.166	-0.174	1.95	0.276	0.141	-63.735	1.038852673469387e-14	14.88798902517148	3.171588158521164	3.171588158521164
335	117.9	119.1	0.011	0.067	0.183	-0.08	1.2	0.227	0.189	-40.597	1.02112426446281e-14	14.89592076524113	3.209658798952888	3.209658798952888
336	128.7	130.65	0.007	-0.134	0.165	-0.042	1.95	0.183	0.094	30.413	1.098083633348894e-14	14.86194333896488	3.051295630646219	3.051295630646219
374	83.7	84.90000000000001	0.011	-0.018	0.187	-0.068	1.2	0.183	0.153	-16.009	9.279262345679001e-15	14.93875130780159	3.427787407160328	3.427787407160328
435	70.05	70.95	-0.0009	-0.005	0.193	-0.141	0.9	0.237	0.263	-35.007	7.922286260808803e-15	15.00507751387804	3.812942330360314	3.812942330360314
468	78.75	80.40000000000001	-0.25	-0.541	-1.095	-0.5	1.65	0.846	0.513	177.207	1.873831930151671e-15	15.43291496431448	9.175633864189832	-9.175633864189832
483	76.5	77.7	0.07000000000000001	-0.264	-0.171	0.012	1.2	0.366	0.305	131.151	1.108311648888889e-14	14.85751337301003	3.031528630789963	-3.031528630789963
594	75.59999999999999	76.65000000000001	0.154	-0.129	-0.083	0.041	1.05	0.291	0.277	144.477	8.286375966111786e-15	14.98676085446089	3.700245690285392	-3.700245690285392
598	83.09999999999999	84.45	0.154	-0.313	-0.243	-0.279	1.35	0.398	0.295	175.136	1.184655307393546e-14	14.82503119901968	2.892370425948937	-2.892370425948937
598	85.34999999999999	86.55	-0.361	-0.382	-1.28	-0.44	1.2	0.921	0.767	-176.384	1.184655307393546e-14	14.82503119901968	2.892370425948937	-2.892370425948937
627	72.15000000000001	73.2	0.029	-0.08799999999999999	0.146	-0.115	1.05	0.12	0.114	-13.231	8.130868950425055e-15	14.9945336755934	3.747442730414419	3.747442730414419
664	70.05	71.84999999999999	0.005	0.01	0.267	-0.034	1.8	0.266	0.148	-9.661	9.565361209422569e-15	14.92539082286299	3.357382535092848	3.357382535092848
666	74.55	77.25	0.057	0.026	0.315	0.025	2.7	0.258	0.096	-0.26	9.212943993684489e-15	14.94187679018157	3.444581811831301	3.444581811831301
686	94.2	95.40000000000001	0.1	0.092	0.252	-0.111	1.2	0.253	0.211	-53.116	2.174365728079745e-14	14.46583067791189	1.836648028856142	1.836648028856142
705	69.90000000000001	71.7	0.159	0.005	-0.083	-0.286	1.8	0.378	0.21	-129.755	4.160890620511345e-15	15.22881710297188	5.744865133549176	-5.744865133549176
709	73.95	75.15000000000001	0.005	-0.006	0.163	-0.045	1.2	0.163	0.136	-13.827	1.125247630378744e-14	14.85021990037399	2.999406864049967	2.999406864049967
789	99.59999999999999	100.35	-0.031	-0.174	-0.308	-0.144	0.75	0.279	0.371	173.829	1.879091023651208e-14	14.56398846735791	2.057647868383828	-2.057647868383828
807	75.3	78	0.039	-0.306	0.357	-0.033	2.7	0.419	0.155	40.684	2.119730164982165e-14	14.48356832560683	1.873801340099247	1.873801340099247
808	73.65000000000001	74.7	0.026	-0.056	0.12	-0.174	1.05	0.151	0.144	-51.522	1.903439673469387e-14	14.55566800318881	2.037370548879985	2.037370548879985
