trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y	L_um	F_pN_abs	F_pN	
62	371.55	372.9	0.344	-0.245	-0.75	0.03	1.35	1.128	0.836	165.882	3.540596639324932e-14	13.99693207687145	1.155661082241407	-1.155661082241407
174	367.2	368.25	-0.107	-0.275	-0.614	-0.043	1.05	0.5580000000000001	0.531	155.435	3.756248505277319e-14	13.93929269338626	1.099719236921749	-1.099719236921749
236	411.9	413.55	-0.074	-0.011	-0.749	-0.057	1.65	0.677	0.41	-176.14	3.427795361062672e-14	14.02756259398164	1.187208290551571	-1.187208290551571
236	415.65	416.55	-1.003	0.25	-1.592	-0.055	0.9	0.663	0.736	-152.683	3.427795361062672e-14	14.02756259398164	1.187208290551571	-1.187208290551571
236	422.85	423.9	-2.885	-0.081	-3.414	-0.229	1.05	0.55	0.524	-164.338	3.427795361062672e-14	14.02756259398164	1.187208290551571	-1.187208290551571
236	425.1	426.9	-3.637	0.042	-2.742	0.045	1.8	0.894	0.497	0.198	3.427795361062672e-14	14.02756259398164	1.187208290551571	1.187208290551571
236	427.5	428.4	-2.443	-0.091	-2.016	-0.233	0.9	0.45	0.5	-18.386	3.427795361062672e-14	14.02756259398164	1.187208290551571	1.187208290551571
236	428.55	429.75	-1.989	-0.046	-1.555	0.114	1.2	0.462	0.385	20.242	3.427795361062672e-14	14.02756259398164	1.187208290551571	1.187208290551571
331	310.95	311.85	-0.032	-0.03	0.102	0.286	0.9	0.343	0.381	66.941	5.902669928387224e-14	13.4127539831642	0.7378903328921925	0.7378903328921925
809	310.2	311.1	-0.142	0.165	0.25	-0.03	0.9	0.438	0.486	-26.385	5.651995105180371e-15	15.07206765673267	4.272882911902149	4.272882911902149
1119	352.8	354.45	-0.042	-0.13	0.886	0.29	1.65	1.019	0.617	24.361	4.66258981392101e-14	13.70804313425034	0.9127529761562337	0.9127529761562337
1192	382.95	384.45	-0.053	-0.031	0.131	-0.105	1.5	0.198	0.132	-21.773	2.005008667894836e-14	14.45381785022312	1.812124870787551	1.812124870787551
1245	356.25	358.8	-0.235	0.093	-1.688	0.144	2.55	1.454	0.57	177.981	4.641464504036906e-14	13.71326057875106	0.916408645901968	-0.916408645901968
1282	324.9	325.95	-0.056	0.518	-0.125	-2.03	1.05	2.549	2.427	-91.547	6.752870849361303e-14	13.22013093630214	0.6505173846424269	-0.6505173846424269
1422	398.25	399.15	0.219	-0.399	-0.454	0.136	0.9	0.86	0.955	141.573	4.124980009469618e-14	13.84324889199328	1.015413749435415	-1.015413749435415
1681	390.15	391.65	0.253	-0.192	-0.285	-0.119	1.5	0.542	0.362	172.322	2.191932183593748e-14	14.39225158212466	1.694001528189596	-1.694001528189596
1866	371.55	372.9	0.493	0.68	-0.709	-0.625	1.35	1.774	1.314	-132.64	2.592061210345606e-14	14.26717593210871	1.487759741078568	-1.487759741078568
1990	415.05	415.95	-0.005	0.187	-0.312	0.436	0.9	0.395	0.439	141.004	9.178002199555548e-15	14.88062014950286	3.136831989109409	-3.136831989109409
1990	421.5	423.6	-0.549	1.394	-1.09	1.072	2.1	0.63	0.3	-149.203	9.178002199555548e-15	14.88062014950286	3.136831989109409	-3.136831989109409
2055	449.55	450.45	-1.648	0.256	-2.283	0.3	0.9	0.637	0.707	176.015	7.560313166609978e-15	14.96243398178055	3.558230079773328	-3.558230079773328
2106	385.5	387	0.114	0.168	-0.483	0.044	1.5	0.609	0.406	-168.326	4.389379728815133e-15	15.15654972170234	4.983845494619604	-4.983845494619604
2208	333.6	334.8	0.093	0.174	-0.131	-0.082	1.2	0.34	0.284	-131.176	2.784821779296995e-14	14.20963255997804	1.405626831108263	-1.405626831108263
2208	387.3	388.2	-0.168	-0.129	-1.062	-0.251	0.9	0.903	1.003	-172.209	2.784821779296995e-14	14.20963255997804	1.405626831108263	-1.405626831108263
2235	364.65	365.7	-0.974	-0.123	-1.557	-0.179	1.05	0.585	0.5570000000000001	-174.509	2.281457388440236e-14	14.36352724716289	1.642899436655934	-1.642899436655934
2252	347.4	348.15	0.189	0.08500000000000001	-0.157	0.255	0.75	0.385	0.514	153.702	3.460564831170805e-14	14.01862852527394	1.177870110769269	-1.177870110769269
2255	392.4	394.8	0.146	-0.054	-1.091	-0.256	2.4	1.253	0.522	-170.706	1.531967963469388e-14	14.6216085452668	2.206966396010868	-2.206966396010868
2288	469.05	470.7	-0.24	0.29	-1.362	0.18	1.65	1.127	0.6830000000000001	-174.393	5.886591170408099e-14	13.41646345975476	0.7397510140653439	-0.7397510140653439
2433	397.5	398.4	-1.227	0.167	-1.666	0.265	0.9	0.449	0.499	167.428	4.626121996834172e-14	13.71705438392392	0.9190812033124387	-0.9190812033124387
2433	403.5	404.55	-1.949	0.431	-2.682	0.226	1.05	0.761	0.725	-164.346	4.626121996834172e-14	13.71705438392392	0.9190812033124387	-0.9190812033124387
2455	453.9	454.65	0.202	-0.184	-0.398	-0.199	0.75	0.6	0.8	-178.548	5.356483468730656e-14	13.54037458433608	0.8064035177331107	-0.8064035177331107
2455	456.15	457.95	-1.176	-0.338	-0.395	-0.095	1.8	0.8179999999999999	0.454	17.284	5.356483468730656e-14	13.54037458433608	0.8064035177331107	0.8064035177331107
2568	317.4	318.45	0.301	-0.083	1.048	-0.286	1.05	0.774	0.737	-15.185	2.181563570734415e-14	14.39560880067002	1.700133548338948	1.700133548338948
2595	403.5	405.45	0.19	-0.159	-0.971	-0.173	1.95	1.162	0.596	-179.286	5.567252444744235e-14	13.49071897584205	0.7786042327669879	-0.7786042327669879
2891	427.05	428.1	0.022	0.08799999999999999	0.4	-0.145	1.05	0.444	0.423	-31.684	3.752981680236006e-14	13.94015730088099	1.100527053634217	1.100527053634217
2964	408.9	409.65	-0.309	0.052	0.192	-0.104	0.75	0.525	0.699	-17.297	4.732920520444474e-15	15.1323136257806	4.762544609886096	4.762544609886096
3010	418.05	419.1	-1.163	-0.519	-1.638	-0.29	1.05	0.527	0.502	154.343	4.359103548141982e-14	13.7837227677522	0.9681048582573828	-0.9681048582573828
3017	349.05	350.1	0.104	0.227	-1.067	-0.324	1.05	1.294	1.233	-154.791	3.766619675484051e-14	13.93654951065903	1.097162329023153	-1.097162329023153
3031	381.45	382.35	0.258	0.15	-0.08799999999999999	-0.309	0.9	0.574	0.638	-127.002	4.470545819848143e-14	13.75574728058544	0.9470480352443237	-0.9470480352443237
3031	390.45	391.2	-0.469	-0.07099999999999999	-0.789	-0.041	0.75	0.321	0.428	174.735	4.470545819848143e-14	13.75574728058544	0.9470480352443237	-0.9470480352443237
3031	393.6	395.1	-0.8129999999999999	-0.311	-1.856	-0.113	1.5	1.062	0.708	169.245	4.470545819848143e-14	13.75574728058544	0.9470480352443237	-0.9470480352443237
3031	413.7	414.6	-1.832	-0.281	-2.166	-0.285	0.9	0.334	0.372	-179.431	4.470545819848143e-14	13.75574728058544	0.9470480352443237	-0.9470480352443237
3052	349.05	350.55	0.062	-0.494	-0.517	0.022	1.5	0.776	0.517	138.303	4.546072317287703e-14	13.73691198213326	0.9332705798990593	-0.9332705798990593
3077	337.35	339.45	0.314	-0.026	-0.507	-0.08599999999999999	2.1	0.823	0.392	-175.823	1.706499341864884e-14	14.55738788911933	2.041536783835082	-2.041536783835082
3106	373.35	375.15	-2.302	-0.041	-2.789	-1.745	1.8	1.772	0.984	-105.936	2.492005687318647e-14	14.29769237896968	1.534361355613301	-1.534361355613301
3247	352.35	353.25	-0.299	-0.214	-0.608	-0.391	0.9	0.356	0.395	-150.226	3.603549798320058e-14	13.97998469888998	1.138762161763417	-1.138762161763417
3269	361.2	362.1	-0.125	-0.08799999999999999	0.226	-0.111	0.9	0.351	0.39	-3.82	3.019296172539549e-14	14.14162088071822	1.31726343904906	1.31726343904906
3272	335.55	336.45	0.133	-0.382	-0.35	0.248	0.9	0.794	0.882	127.478	4.064892077069702e-14	13.85870056641334	1.028283993056068	-1.028283993056068
3308	361.35	362.4	0.419	0.89	-0.858	-0.825	1.05	2.138	2.036	-126.673	2.75014816544814e-14	14.21986881971162	1.4197171998892	-1.4197171998892
3355	356.7	357.45	0.298	-0.338	-0.648	-0.097	0.75	0.976	1.301	165.698	4.431635901608975e-14	13.76548967806012	0.9542992453386246	-0.9542992453386246
3411	318	318.75	0.354	0.394	-0.843	-0	0.75	1.26	1.68	-161.765	3.792236868079237e-14	13.92978463739762	1.090896173263344	-1.090896173263344
3429	357.6	359.4	-0.061	0.409	-0.629	-0.181	1.8	0.819	0.455	-133.925	3.892121808511499e-14	13.90355256636418	1.067116580067375	-1.067116580067375
3546	336	338.1	0.08	0.135	-0.522	-0.926	2.1	1.22	0.581	-119.557	4.135539336704341e-14	13.84054113707064	1.013184206632816	-1.013184206632816
3593	383.25	386.25	-0.926	-0.449	-0.362	-0.275	3	0.591	0.197	17.123	5.224900163068634e-14	13.57165538151357	0.8247231047115834	0.8247231047115834
3803	402.45	403.65	-2.578	0.187	-1.45	0.008	1.2	1.142	0.952	-8.991	2.100944568441602e-14	14.4219379816246	1.749431628092453	1.749431628092453
4206	341.25	342	-0.094	-0.221	-0.834	0.291	0.75	0.899	1.199	145.313	4.982743832655024e-14	13.62982659446728	0.8605711267520122	-0.8605711267520122
4382	468	468.9	-0.574	0.511	0.117	-0.126	0.9	0.9399999999999999	1.044	-42.645	5.83422762775092e-14	13.42856297471593	0.7458716495341494	0.7458716495341494
4779	458.55	460.05	0.118	-0.197	-0.477	-0.272	1.5	0.6	0.4	-172.903	2.17413559269446e-14	14.3980178725926	1.704554839983255	-1.704554839983255
5113	325.95	326.85	0.114	0.08400000000000001	-0.186	0.253	0.9	0.344	0.382	150.49	2.752517081959829e-14	14.21916792744544	1.418745464840756	-1.418745464840756
5544	487.95	490.35	0.04	0.017	1.554	-0.104	2.4	1.518	0.633	-4.552	3.700270151947792e-14	13.95414353303634	1.113723806149909	1.113723806149909
5566	347.4	348.6	0.397	0.5	-0.203	0.282	1.2	0.638	0.532	-160.083	1.418668399092971e-13	11.67977333045123	0.3011020134946448	-0.3011020134946448
5753	345.75	346.65	-0.136	-0.0001	-0.03	-0.015	0.9	0.107	0.118	-7.93	4.540218368541952e-15	15.14577731208059	4.88359813303309	4.88359813303309
6002	322.95	323.7	0.251	0.065	-0.046	0.214	0.75	0.333	0.444	153.409	5.432975720897113e-14	13.52229110582667	0.7961020492649956	-0.7961020492649956
6703	379.05	380.85	0.06900000000000001	-1.947	0.8100000000000001	0.708	1.8	2.757	1.532	74.41200000000001	5.058439955678666e-14	13.61155556377199	0.8490530401652122	0.8490530401652122
6880	347.55	348.45	0.8	0.16	-0.35	0.035	0.9	1.157	1.286	-173.768	1.568588403257907e-14	14.60787511685764	2.169904018915661	-2.169904018915661
7020	465.9	468	0.462	0.051	1.026	-0.01	2.1	0.5669999999999999	0.27	-6.221	3.442692013217975e-14	14.02349757654318	1.182945212069226	1.182945212069226
7087	355.95	356.7	-0.435	0.03	-2.194	-0.21	0.75	1.775	2.366	-172.229	2.351934524815843e-14	14.34123193061675	1.604852606800877	-1.604852606800877
7100	363.45	370.5	0.202	-0.24	-2.798	0.179	7.05	3.029	0.43	172.044	3.664438097122506e-14	13.96368970645629	1.122872889419196	-1.122872889419196
7314	338.4	339.15	0.134	-0.193	-0.395	0.26	0.75	0.696	0.929	139.507	2.629785948538237e-14	14.25578882110068	1.470928258346768	-1.470928258346768
7506	380.85	381.9	-0.08500000000000001	0.064	0.358	-0.182	1.05	0.507	0.483	-29.028	6.133556033876094e-14	13.35977803114795	0.7120999269755909	0.7120999269755909
7764	338.1	339.3	0.379	0.369	-0.322	-0.08699999999999999	1.2	0.837	0.697	-146.902	3.635838781217483e-14	13.97133184679099	1.130281582379106	-1.130281582379106
