trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y
62	371.55	372.9	0.344	-0.245	-0.75	0.03	1.35	1.128	0.836	165.882	3.540596639324932e-14
174	367.2	368.25	-0.107	-0.275	-0.614	-0.043	1.05	0.5580000000000001	0.531	155.435	3.756248505277319e-14
236	411.9	413.55	-0.074	-0.011	-0.749	-0.057	1.65	0.677	0.41	-176.14	3.427795361062672e-14
236	415.65	416.55	-1.003	0.25	-1.592	-0.055	0.9	0.663	0.736	-152.683	3.427795361062672e-14
236	422.85	423.9	-2.885	-0.081	-3.414	-0.229	1.05	0.55	0.524	-164.338	3.427795361062672e-14
236	425.1	426.9	-3.637	0.042	-2.742	0.045	1.8	0.894	0.497	0.198	3.427795361062672e-14
236	427.5	428.4	-2.443	-0.091	-2.016	-0.233	0.9	0.45	0.5	-18.386	3.427795361062672e-14
236	428.55	429.75	-1.989	-0.046	-1.555	0.114	1.2	0.462	0.385	20.242	3.427795361062672e-14
331	310.95	311.85	-0.032	-0.03	0.102	0.286	0.9	0.343	0.381	66.941	5.902669928387224e-14
809	310.2	311.1	-0.142	0.165	0.25	-0.03	0.9	0.438	0.486	-26.385	5.651995105180371e-15
1119	352.8	354.45	-0.042	-0.13	0.886	0.29	1.65	1.019	0.617	24.361	4.66258981392101e-14
1192	382.95	384.45	-0.053	-0.031	0.131	-0.105	1.5	0.198	0.132	-21.773	2.005008667894836e-14
1245	356.25	358.8	-0.235	0.093	-1.688	0.144	2.55	1.454	0.57	177.981	4.641464504036906e-14
1282	324.9	325.95	-0.056	0.518	-0.125	-2.03	1.05	2.549	2.427	-91.547	6.752870849361303e-14
1422	398.25	399.15	0.219	-0.399	-0.454	0.136	0.9	0.86	0.955	141.573	4.124980009469618e-14
1681	390.15	391.65	0.253	-0.192	-0.285	-0.119	1.5	0.542	0.362	172.322	2.191932183593748e-14
1866	371.55	372.9	0.493	0.68	-0.709	-0.625	1.35	1.774	1.314	-132.64	2.592061210345606e-14
1990	415.05	415.95	-0.005	0.187	-0.312	0.436	0.9	0.395	0.439	141.004	9.178002199555548e-15
1990	421.5	423.6	-0.549	1.394	-1.09	1.072	2.1	0.63	0.3	-149.203	9.178002199555548e-15
2055	449.55	450.45	-1.648	0.256	-2.283	0.3	0.9	0.637	0.707	176.015	7.560313166609978e-15
2106	385.5	387	0.114	0.168	-0.483	0.044	1.5	0.609	0.406	-168.326	4.389379728815133e-15
2208	333.6	334.8	0.093	0.174	-0.131	-0.082	1.2	0.34	0.284	-131.176	2.784821779296995e-14
2208	387.3	388.2	-0.168	-0.129	-1.062	-0.251	0.9	0.903	1.003	-172.209	2.784821779296995e-14
2235	364.65	365.7	-0.974	-0.123	-1.557	-0.179	1.05	0.585	0.5570000000000001	-174.509	2.281457388440236e-14
2252	347.4	348.15	0.189	0.08500000000000001	-0.157	0.255	0.75	0.385	0.514	153.702	3.460564831170805e-14
2255	392.4	394.8	0.146	-0.054	-1.091	-0.256	2.4	1.253	0.522	-170.706	1.531967963469388e-14
2288	469.05	470.7	-0.24	0.29	-1.362	0.18	1.65	1.127	0.6830000000000001	-174.393	5.886591170408099e-14
2433	397.5	398.4	-1.227	0.167	-1.666	0.265	0.9	0.449	0.499	167.428	4.626121996834172e-14
2433	403.5	404.55	-1.949	0.431	-2.682	0.226	1.05	0.761	0.725	-164.346	4.626121996834172e-14
2455	453.9	454.65	0.202	-0.184	-0.398	-0.199	0.75	0.6	0.8	-178.548	5.356483468730656e-14
2455	456.15	457.95	-1.176	-0.338	-0.395	-0.095	1.8	0.8179999999999999	0.454	17.284	5.356483468730656e-14
2568	317.4	318.45	0.301	-0.083	1.048	-0.286	1.05	0.774	0.737	-15.185	2.181563570734415e-14
2595	403.5	405.45	0.19	-0.159	-0.971	-0.173	1.95	1.162	0.596	-179.286	5.567252444744235e-14
2891	427.05	428.1	0.022	0.08799999999999999	0.4	-0.145	1.05	0.444	0.423	-31.684	3.752981680236006e-14
2964	408.9	409.65	-0.309	0.052	0.192	-0.104	0.75	0.525	0.699	-17.297	4.732920520444474e-15
3010	418.05	419.1	-1.163	-0.519	-1.638	-0.29	1.05	0.527	0.502	154.343	4.359103548141982e-14
3017	349.05	350.1	0.104	0.227	-1.067	-0.324	1.05	1.294	1.233	-154.791	3.766619675484051e-14
3031	381.45	382.35	0.258	0.15	-0.08799999999999999	-0.309	0.9	0.574	0.638	-127.002	4.470545819848143e-14
