 	trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle (deg)
1	35	68.550	69.150	0.075	-0.043	0.156	-0.087	0.600	0.092	0.154	-28.611
2	75	80.100	80.850	0.013	-0.229	0.327	-0.111	0.750	0.335	0.447	20.609
3	143	64.050	65.700	0.134	-0.537	-0.276	-0.112	1.650	0.590	0.358	133.993
4	187	67.950	69.450	0.025	-0.021	-0.158	-0.140	1.500	0.219	0.146	-146.758
5	246	64.950	66	0.120	-0.122	-0.168	-0.156	1.050	0.290	0.276	-173.182
6	301	80.700	81.300	-0.008	-0.095	-0.186	-0.216	0.600	0.215	0.359	-145.773
7	366	72	73.650	0.069	-0.085	0.236	-0.021	1.650	0.179	0.108	21.011
8	374	64.050	64.950	0.142	-0.070	-0.368	-0.658	0.900	0.779	0.865	-130.906
9	399	70.050	70.800	-0.133	-0.168	0.147	0.112	0.750	0.395	0.527	44.921
10	414	114.900	115.500	0.052	-0.147	0.249	0.169	0.600	0.372	0.620	58.023
11	435	75.600	76.050	-0.116	0.126	-0.443	0.149	0.450	0.328	0.728	176.006
12	471	73.800	74.400	0.121	-0.071	0.324	0.037	0.600	0.230	0.384	28.126
13	542	77.700	78.750	0.119	-0.016	-0.175	-0.105	1.050	0.307	0.293	-163.177
14	547	60.450	61.200	-0.014	-0.183	0.099	-0.157	0.750	0.116	0.155	12.918
15	560	71.250	74.250	0.086	-0.169	0.535	0.255	3	0.618	0.206	43.393
16	580	65.550	66.450	0.029	0.018	0.157	0.111	0.900	0.158	0.175	35.863
17	603	97.950	99.300	-0.046	0.065	-0.575	-0.219	1.350	0.600	0.445	-151.793
18	619	75.150	75.450	0.073	-0.243	-0.065	0.011	0.300	0.289	0.964	118.516
19	633	67.200	68.400	0.138	-0.246	-0.588	-0.166	1.200	0.730	0.609	173.731
20	715	69.450	70.200	0.009	-0.258	0.021	-0.268	0.750	0.016	0.021	-40.231
21	719	107.400	108.600	0.026	0.012	0.291	0.031	1.200	0.266	0.221	4.115
22	723	150.750	151.200	0.081	-0.009	0.199	-0.081	0.450	0.138	0.306	-31.145
23	768	84.750	85.800	0.072	-0.024	0.192	-0.097	1.050	0.140	0.134	-31.257
24	791	63.600	64.650	0.009	-0.088	-0.122	-0.199	1.050	0.172	0.164	-139.666
25	801	142.500	144.450	0.070	0.057	0.244	0.026	1.950	0.177	0.091	-10.265
26	805	70.350	70.950	-0.129	-0.165	-0.626	-0.360	0.600	0.534	0.890	-158.513
27	846	62.850	63.900	0.139	-0.033	-0.315	-0.099	1.050	0.459	0.437	-171.611
28	855	77.850	78.750	0.049	-0.246	0.143	-0.116	0.900	0.160	0.178	54.101
29	871	87	87.900	0.058	0.040	-0.044	-0.161	0.900	0.225	0.250	-116.938
30	909	92.850	108.600	-0.895	-0.056	4.367	-0.030	15.750	5.262	0.334	0.289
31	909	114.900	122.250	5.561	0.023	8.535	-0.064	7.350	2.975	0.405	-1.693
32	911	90	91.350	0.062	-0.077	0.198	-0.294	1.350	0.256	0.190	-57.966
33	916	143.400	145.500	0.187	-0.165	0.704	-0.422	2.100	0.578	0.275	-26.485
34	917	79.650	80.400	0.224	0.022	-0.192	-0.178	0.750	0.461	0.615	-154.400
35	921	91.800	93.600	0.145	-0.145	0.374	-0.225	1.800	0.243	0.135	-19.312
36	1016	72.600	73.950	0.105	-0.343	0.167	-0.362	1.350	0.065	0.048	-16.236
37	1050	67.650	71.100	0.009	-0.097	0.282	-0.045	3.450	0.278	0.081	10.722
38	1079	99.300	99.900	0.068	0.106	0.188	-0.065	0.600	0.209	0.348	-54.913
39	1112	85.200	85.950	0.035	-0.135	0.261	0.011	0.750	0.269	0.359	32.902
40	1120	74.100	75.150	0.029	-0.055	0.112	-0.047	1.050	0.083	0.079	4.971
41	1151	70.200	70.650	0.144	-0.135	-0.061	-0.345	0.450	0.294	0.653	-134.231
42	1168	106.650	107.550	0.047	0.005	0.186	-0.023	0.900	0.142	0.157	-11.281
43	1198	80.700	82.350	0.045	0.030	0.181	-0.159	1.650	0.232	0.141	-54.179
44	1256	93.300	94.050	0.163	-0.231	0.354	0.177	0.750	0.450	0.601	64.907
45	1335	51.900	54.150	-0.971	-0.635	-0.792	-0.542	2.250	0.202	0.090	27.493
46	1335	61.650	62.700	-0.871	0.105	1.168	-0.208	1.050	2.063	1.965	-8.734
47	1372	90.900	91.950	0.022	-0.155	0.172	-0.061	1.050	0.177	0.169	32.286
48	1438	111.900	113.550	0.117	0.046	0.774	0.137	1.650	0.663	0.402	7.873
