trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
62.0000   	371.5500  	372.9000  	0.3440    	-0.2450   	-0.7500   	0.0300    	1.3500    	1.1280    	0.8360    	165.8820  
174.0000  	367.2000  	368.2500  	-0.1070   	-0.2750   	-0.6140   	-0.0430   	1.0500    	0.5580    	0.5310    	155.4350  
236.0000  	411.9000  	413.5500  	-0.0740   	-0.0110   	-0.7490   	-0.0570   	1.6500    	0.6770    	0.4100    	-176.1400 
236.0000  	415.6500  	416.5500  	-1.0030   	0.2500    	-1.5920   	-0.0550   	0.9000    	0.6630    	0.7360    	-152.6830 
236.0000  	422.8500  	423.9000  	-2.8850   	-0.0810   	-3.4140   	-0.2290   	1.0500    	0.5500    	0.5240    	-164.3380 
236.0000  	425.1000  	426.9000  	-3.6370   	0.0420    	-2.7420   	0.0450    	1.8000    	0.8940    	0.4970    	0.1980    
236.0000  	427.5000  	428.4000  	-2.4430   	-0.0910   	-2.0160   	-0.2330   	0.9000    	0.4500    	0.5000    	-18.3860  
236.0000  	428.5500  	429.7500  	-1.9890   	-0.0460   	-1.5550   	0.1140    	1.2000    	0.4620    	0.3850    	20.2420   
331.0000  	310.9500  	311.8500  	-0.0320   	-0.0300   	0.1020    	0.2860    	0.9000    	0.3430    	0.3810    	66.9410   
809.0000  	310.2000  	311.1000  	-0.1420   	0.1650    	0.2500    	-0.0300   	0.9000    	0.4380    	0.4860    	-26.3850  
1119.0000 	352.8000  	354.4500  	-0.0420   	-0.1300   	0.8860    	0.2900    	1.6500    	1.0190    	0.6170    	24.3610   
1192.0000 	382.9500  	384.4500  	-0.0530   	-0.0310   	0.1310    	-0.1050   	1.5000    	0.1980    	0.1320    	-21.7730  
1245.0000 	356.2500  	358.8000  	-0.2350   	0.0930    	-1.6880   	0.1440    	2.5500    	1.4540    	0.5700    	177.9810  
1282.0000 	324.9000  	325.9500  	-0.0560   	0.5180    	-0.1250   	-2.0300   	1.0500    	2.5490    	2.4270    	-91.5470  
1310.0000 	510.6000  	511.3500  	0.0780    	0.1120    	0.4590    	-0.2060   	0.7500    	0.4960    	0.6610    	-39.8030  
1422.0000 	398.2500  	399.1500  	0.2190    	-0.3990   	-0.4540   	0.1360    	0.9000    	0.8600    	0.9550    	141.5730  
1681.0000 	390.1500  	391.6500  	0.2530    	-0.1920   	-0.2850   	-0.1190   	1.5000    	0.5420    	0.3620    	172.3220  
1866.0000 	371.5500  	372.9000  	0.4930    	0.6800    	-0.7090   	-0.6250   	1.3500    	1.7740    	1.3140    	-132.6400 
1990.0000 	415.0500  	415.9500  	-0.0050   	0.1870    	-0.3120   	0.4360    	0.9000    	0.3950    	0.4390    	141.0040  
1990.0000 	421.5000  	423.6000  	-0.5490   	1.3940    	-1.0900   	1.0720    	2.1000    	0.6300    	0.3000    	-149.2030 
2055.0000 	449.5500  	450.4500  	-1.6480   	0.2560    	-2.2830   	0.3000    	0.9000    	0.6370    	0.7070    	176.0150  
2106.0000 	385.5000  	387.0000  	0.1140    	0.1680    	-0.4830   	0.0440    	1.5000    	0.6090    	0.4060    	-168.3260 
2208.0000 	333.6000  	334.8000  	0.0930    	0.1740    	-0.1310   	-0.0820   	1.2000    	0.3400    	0.2840    	-131.1760 
2208.0000 	387.3000  	388.2000  	-0.1680   	-0.1290   	-1.0620   	-0.2510   	0.9000    	0.9030    	1.0030    	-172.2090 
2235.0000 	364.6500  	365.7000  	-0.9740   	-0.1230   	-1.5570   	-0.1790   	1.0500    	0.5850    	0.5570    	-174.5090 
2252.0000 	347.4000  	348.1500  	0.1890    	0.0850    	-0.1570   	0.2550    	0.7500    	0.3850    	0.5140    	153.7020  
2255.0000 	392.4000  	394.8000  	0.1460    	-0.0540   	-1.0910   	-0.2560   	2.4000    	1.2530    	0.5220    	-170.7060 
2288.0000 	469.0500  	470.7000  	-0.2400   	0.2900    	-1.3620   	0.1800    	1.6500    	1.1270    	0.6830    	-174.3930 
2433.0000 	397.5000  	398.4000  	-1.2270   	0.1670    	-1.6660   	0.2650    	0.9000    	0.4490    	0.4990    	167.4280  
2433.0000 	403.5000  	404.5500  	-1.9490   	0.4310    	-2.6820   	0.2260    	1.0500    	0.7610    	0.7250    	-164.3460 
2455.0000 	453.9000  	454.6500  	0.2020    	-0.1840   	-0.3980   	-0.1990   	0.7500    	0.6000    	0.8000    	-178.5480 
2455.0000 	456.1500  	457.9500  	-1.1760   	-0.3380   	-0.3950   	-0.0950   	1.8000    	0.8180    	0.4540    	17.2840   
2464.0000 	326.1000  	327.3000  	0.0060    	0.0850    	-0.3180   	-0.1790   	1.2000    	0.4190    	0.3490    	-140.8760 
2568.0000 	317.4000  	318.4500  	0.3010    	-0.0830   	1.0480    	-0.2860   	1.0500    	0.7740    	0.7370    	-15.1850  
2595.0000 	403.5000  	405.4500  	0.1900    	-0.1590   	-0.9710   	-0.1730   	1.9500    	1.1620    	0.5960    	-179.2860 
2891.0000 	427.0500  	428.1000  	0.0220    	0.0880    	0.4000    	-0.1450   	1.0500    	0.4440    	0.4230    	-31.6840  
2964.0000 	408.9000  	409.6500  	-0.3090   	0.0520    	0.1920    	-0.1040   	0.7500    	0.5250    	0.6990    	-17.2970  
3010.0000 	418.0500  	419.1000  	-1.1630   	-0.5190   	-1.6380   	-0.2900   	1.0500    	0.5270    	0.5020    	154.3430  
3017.0000 	349.0500  	350.1000  	0.1040    	0.2270    	-1.0670   	-0.3240   	1.0500    	1.2940    	1.2330    	-154.7910 
3031.0000 	381.4500  	382.3500  	0.2580    	0.1500    	-0.0880   	-0.3090   	0.9000    	0.5740    	0.6380    	-127.0020 
3031.0000 	390.4500  	391.2000  	-0.4690   	-0.0710   	-0.7890   	-0.0410   	0.7500    	0.3210    	0.4280    	174.7350  
3031.0000 	393.6000  	395.1000  	-0.8130   	-0.3110   	-1.8560   	-0.1130   	1.5000    	1.0620    	0.7080    	169.2450  
3031.0000 	413.7000  	414.6000  	-1.8320   	-0.2810   	-2.1660   	-0.2850   	0.9000    	0.3340    	0.3720    	-179.4310 
3052.0000 	349.0500  	350.5500  	0.0620    	-0.4940   	-0.5170   	0.0220    	1.5000    	0.7760    	0.5170    	138.3030  
3077.0000 	337.3500  	339.4500  	0.3140    	-0.0260   	-0.5070   	-0.0860   	2.1000    	0.8230    	0.3920    	-175.8230 
3106.0000 	373.3500  	375.1500  	-2.3020   	-0.0410   	-2.7890   	-1.7450   	1.8000    	1.7720    	0.9840    	-105.9360 
3247.0000 	352.3500  	353.2500  	-0.2990   	-0.2140   	-0.6080   	-0.3910   	0.9000    	0.3560    	0.3950    	-150.2260 
3269.0000 	361.2000  	362.1000  	-0.1250   	-0.0880   	0.2260    	-0.1110   	0.9000    	0.3510    	0.3900    	-3.8200   
3272.0000 	335.5500  	336.4500  	0.1330    	-0.3820   	-0.3500   	0.2480    	0.9000    	0.7940    	0.8820    	127.4780  
3308.0000 	361.3500  	362.4000  	0.4190    	0.8900    	-0.8580   	-0.8250   	1.0500    	2.1380    	2.0360    	-126.6730 
3355.0000 	356.7000  	357.4500  	0.2980    	-0.3380   	-0.6480   	-0.0970   	0.7500    	0.9760    	1.3010    	165.6980  
3411.0000 	318.0000  	318.7500  	0.3540    	0.3940    	-0.8430   	-0.0000   	0.7500    	1.2600    	1.6800    	-161.7650 
3429.0000 	357.6000  	359.4000  	-0.0610   	0.4090    	-0.6290   	-0.1810   	1.8000    	0.8190    	0.4550    	-133.9250 
3454.0000 	366.9000  	369.7500  	-1.6590   	-0.3610   	-2.2850   	-0.6650   	2.8500    	0.6950    	0.2440    	-154.0930 
3525.0000 	324.3000  	325.0500  	-0.0960   	-0.1020   	-0.8300   	-0.0110   	0.7500    	0.7400    	0.9870    	172.8850  
3546.0000 	336.0000  	338.1000  	0.0800    	0.1350    	-0.5220   	-0.9260   	2.1000    	1.2200    	0.5810    	-119.5570 
3593.0000 	383.2500  	386.2500  	-0.9260   	-0.4490   	-0.3620   	-0.2750   	3.0000    	0.5910    	0.1970    	17.1230   
