trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
36.0000   	116.4000  	118.0500  	-0.0800   	0.1290    	0.2100    	0.0910    	1.6500    	0.2920    	0.1770    	-7.3150   
104.0000  	94.6500   	95.5500   	-0.2380   	-0.0780   	-0.1060   	-0.0890   	0.9000    	0.1330    	0.1480    	-4.4290   
158.0000  	109.8000  	112.3500  	-0.0000   	0.1320    	0.4590    	0.0470    	2.5500    	0.4670    	0.1830    	-10.4950  
180.0000  	141.1500  	142.0500  	0.0320    	-0.0590   	-0.1070   	-0.1350   	0.9000    	0.1590    	0.1760    	-151.3340 
222.0000  	117.3000  	118.5000  	-0.0500   	0.0410    	0.1540    	0.0890    	1.2000    	0.2090    	0.1740    	13.1940   
250.0000  	102.9000  	104.5500  	-0.0720   	0.1000    	0.0670    	0.1680    	1.6500    	0.1550    	0.0940    	26.1440   
261.0000  	104.1000  	105.1500  	-0.1020   	0.2850    	-0.3810   	-0.2430   	1.0500    	0.5970    	0.5680    	-117.8150 
270.0000  	108.9000  	110.7000  	0.2320    	0.1220    	-0.1550   	-0.1910   	1.8000    	0.4980    	0.2770    	-141.0600 
287.0000  	116.2500  	117.3000  	-0.1790   	0.1100    	0.0320    	0.0780    	1.0500    	0.2130    	0.2030    	-8.4020   
287.0000  	132.9000  	134.1000  	0.2530    	0.1050    	0.5460    	0.0010    	1.2000    	0.3110    	0.2590    	-19.4690  
287.0000  	134.4000  	135.3000  	0.5600    	0.0310    	0.7410    	0.0230    	0.9000    	0.1810    	0.2010    	-2.4390   
287.0000  	135.7500  	136.5000  	0.7870    	-0.0500   	1.1170    	0.1570    	0.7500    	0.3890    	0.5190    	32.1120   
297.0000  	110.4000  	111.6000  	-0.3070   	-0.0760   	-0.7760   	-0.1640   	1.2000    	0.4770    	0.3970    	-169.4370 
302.0000  	99.0000   	100.3500  	-0.0500   	0.3460    	0.2400    	0.1400    	1.3500    	0.3550    	0.2630    	-35.4450  
304.0000  	102.3000  	104.1000  	1.0190    	-0.1020   	-0.4820   	-0.0160   	1.8000    	1.5030    	0.8350    	176.7360  
306.0000  	109.5000  	110.5500  	0.0160    	-0.0630   	0.2830    	0.1820    	1.0500    	0.3620    	0.3450    	42.4640   
412.0000  	117.6000  	119.4000  	-0.0000   	-0.0930   	0.3740    	0.0930    	1.8000    	0.4180    	0.2320    	26.4530   
431.0000  	105.1500  	106.5000  	-0.4670   	0.1690    	-0.1790   	0.1470    	1.3500    	0.2890    	0.2140    	-4.3850   
435.0000  	116.1000  	118.6500  	-0.0860   	0.0930    	0.3070    	0.0940    	2.5500    	0.3940    	0.1540    	0.1390    
441.0000  	99.9000   	100.8000  	-0.1020   	0.1630    	0.1360    	-0.1570   	0.9000    	0.3980    	0.4430    	-53.2400  
447.0000  	98.5500   	99.9000   	-0.0080   	0.1310    	0.3100    	-0.2000   	1.3500    	0.4600    	0.3410    	-46.1660  
553.0000  	108.3000  	109.3500  	0.0060    	0.2890    	0.2340    	0.1000    	1.0500    	0.2950    	0.2810    	-39.7180  
570.0000  	101.8500  	103.2000  	-0.0460   	0.1490    	0.0800    	0.0480    	1.3500    	0.1620    	0.1200    	-38.4960  
592.0000  	113.4000  	114.4500  	-0.3740   	0.2110    	0.3740    	-0.1630   	1.0500    	0.8370    	0.7970    	-26.5650  
618.0000  	110.1000  	111.7500  	-0.0350   	0.3390    	-0.6260   	0.2270    	1.6500    	0.6010    	0.3640    	-169.1880 
631.0000  	113.8500  	114.7500  	-0.0770   	0.0650    	0.0210    	0.2510    	0.9000    	0.2100    	0.2330    	62.2870   
639.0000  	99.1500   	102.9000  	2.8370    	-0.8830   	-0.2130   	0.2040    	3.7500    	3.2370    	0.8630    	160.3900  
647.0000  	98.2500   	99.7500   	-0.0005   	0.1010    	0.1920    	0.3510    	1.5000    	0.3150    	0.2100    	52.3800   
667.0000  	97.8000   	98.7000   	0.0050    	0.1610    	0.1970    	0.1850    	0.9000    	0.1940    	0.2150    	7.2590    
680.0000  	108.1500  	109.0500  	0.0420    	-0.0240   	-0.1420   	0.2550    	0.9000    	0.3340    	0.3710    	123.4370  
706.0000  	106.9500  	107.7000  	-0.0640   	0.2910    	0.0590    	0.0890    	0.7500    	0.2370    	0.3150    	-58.6150  
713.0000  	101.7000  	102.4500  	0.1120    	-0.0880   	-0.1090   	0.0830    	0.7500    	0.2800    	0.3730    	142.1010  
714.0000  	108.9000  	110.1000  	-0.1060   	0.1900    	0.0240    	0.2050    	1.2000    	0.1310    	0.1090    	6.7600    
741.0000  	126.4500  	128.7000  	-0.0430   	0.1650    	0.7700    	0.0120    	2.2500    	0.8270    	0.3680    	-10.7050  
742.0000  	109.5000  	110.8500  	-0.0770   	0.1450    	0.2450    	0.0430    	1.3500    	0.3370    	0.2500    	-17.5560  
749.0000  	124.5000  	125.8500  	-0.0850   	0.4310    	0.3500    	0.4160    	1.3500    	0.4350    	0.3230    	-1.9720   
817.0000  	112.9500  	113.8500  	-0.2480   	0.1040    	-0.7070   	0.1620    	0.9000    	0.4630    	0.5140    	172.7070  
872.0000  	121.5000  	122.7000  	-0.0700   	0.0740    	-1.3920   	0.2950    	1.2000    	1.3400    	1.1170    	170.4960  
891.0000  	97.5000   	99.3000   	0.0002    	0.0850    	0.2980    	0.0750    	1.8000    	0.2980    	0.1650    	-1.8130   
895.0000  	100.6500  	103.2000  	0.0140    	0.1340    	0.3540    	0.0880    	2.5500    	0.3420    	0.1340    	-7.6560   
900.0000  	124.5000  	131.4000  	-0.1950   	0.0950    	2.3010    	0.1990    	6.9000    	2.4980    	0.3620    	2.3920    
905.0000  	101.7000  	103.2000  	-0.0400   	0.3150    	0.1710    	0.1350    	1.5000    	0.2770    	0.1850    	-40.4260  
908.0000  	101.4000  	102.4500  	0.0110    	0.1180    	0.2670    	0.2420    	1.0500    	0.2840    	0.2710    	25.7030   
920.0000  	97.2000   	98.2500   	-0.0450   	-0.0540   	0.1220    	0.0710    	1.0500    	0.2080    	0.1980    	36.7480   
930.0000  	111.1500  	113.4000  	-0.1710   	-0.0350   	0.4450    	0.1960    	2.2500    	0.6580    	0.2920    	20.5250   
937.0000  	109.5000  	110.5500  	-0.1040   	0.1020    	0.1600    	0.2220    	1.0500    	0.2900    	0.2760    	24.3980   
975.0000  	105.9000  	106.8000  	-0.2830   	0.1430    	-0.5250   	0.1380    	0.9000    	0.2420    	0.2690    	-178.7210 
