trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle_deg	msd_y	L_um	F_pN_abs	F_pN		
58	189.6	190.65	-0.167	0.023	-0.55	0.045	1.05	0.384	0.365	176.725	2.343772346970215e-14	14.36759542079973	1.649991542626354	-1.649991542626354
98	195.45	196.5	-0.057	-0.082	0.314	0.028	1.05	0.387	0.368	16.416	1.693066339309107e-14	14.58548793625369	2.111499239795999	2.111499239795999
197	205.35	210.75	-1.024	-0.148	1.624	-0.198	5.4	2.648	0.49	-1.094	6.830458656805257e-15	15.02315922377437	3.92939016031012	3.92939016031012
197	214.5	217.05	1.875	-0.269	3.008	-0.123	2.55	1.142	0.448	7.342	6.830458656805257e-15	15.02315922377437	3.92939016031012	3.92939016031012
197	218.55	220.8	3.257	-0.119	4.306	-0.076	2.25	1.05	0.467	2.371	6.830458656805257e-15	15.02315922377437	3.92939016031012	3.92939016031012
197	222.45	223.35	4.451	0.107	4.788	-0.002	0.9	0.354	0.394	-18.031	6.830458656805257e-15	15.02315922377437	3.92939016031012	3.92939016031012
197	225.6	229.2	5.168	0.045	6.73	0.211	3.6	1.571	0.436	6.076	6.830458656805257e-15	15.02315922377437	3.92939016031012	3.92939016031012
197	229.2	230.55	6.824	0.139	7.466	0.222	1.35	0.647	0.48	7.398	6.830458656805257e-15	15.02315922377437	3.92939016031012	3.92939016031012
213	140.55	141.3	0.181	0.118	0.536	0.233	0.75	0.373	0.497	17.902	1.639284705322178e-14	14.60495920537515	2.162157581269625	2.162157581269625
213	148.5	150.45	1.28	0.165	1.595	0.065	1.95	0.331	0.17	-17.667	1.639284705322178e-14	14.60495920537515	2.162157581269625	2.162157581269625
340	124.35	125.25	-0.294	0.411	-0.653	-0.163	0.9	0.677	0.752	-122.029	4.405989604129209e-14	13.79618795901471	0.9777233027356947	-0.9777233027356947
357	204.9	205.95	-0.153	0.148	-0.053	-0.094	1.05	0.262	0.25	-67.583	1.091785610899876e-14	14.8226810699038	2.882681896982778	2.882681896982778
