 	slice	peaks
1	1	5223
2	2	5233
3	3	5224
4	4	5228
5	5	5221
6	6	5217
7	7	5222
8	8	5222
9	9	5219
10	10	5221
11	11	5219
12	12	5220
13	13	5218
14	14	5215
15	15	5214
16	16	5216
17	17	5223
18	18	5221
19	19	5227
20	20	5226
21	21	5219
22	22	5221
23	23	5214
24	24	5216
25	25	5218
26	26	5216
27	27	5216
28	28	5217
29	29	5213
30	30	5220
31	31	5216
32	32	5225
33	33	5209
34	34	5212
35	35	5217
36	36	5224
37	37	5219
38	38	5216
39	39	5218
40	40	5217
41	41	5206
42	42	5208
43	43	5212
44	44	5215
45	45	5206
46	46	5204
47	47	5198
48	48	5211
49	49	5214
50	50	5211
51	51	5216
52	52	5210
53	53	5215
54	54	5215
55	55	5207
56	56	5205
57	57	5210
58	58	5212
59	59	5209
60	60	5204
61	61	5205
62	62	5211
63	63	5212
64	64	5209
65	65	5206
66	66	5204
67	67	5214
68	68	5217
69	69	5209
70	70	5211
71	71	5212
72	72	5216
73	73	5205
74	74	5210
75	75	5212
76	76	5212
77	77	5210
78	78	5210
79	79	5206
80	80	5213
81	81	5204
82	82	5206
83	83	5211
84	84	5201
85	85	5204
86	86	5208
87	87	5208
88	88	5200
89	89	5205
90	90	5199
91	91	5204
92	92	5199
93	93	5195
94	94	5197
95	95	5195
96	96	5194
97	97	5194
98	98	5191
99	99	5197
100	100	5205
101	101	5202
102	102	5197
103	103	5191
104	104	5193
105	105	5197
106	106	5204
107	107	5198
108	108	5197
109	109	5199
110	110	5204
111	111	5205
112	112	5204
113	113	5197
114	114	5199
115	115	5202
116	116	5205
117	117	5204
118	118	5199
119	119	5194
120	120	5196
121	121	5201
122	122	5194
123	123	5193
124	124	5194
125	125	5191
126	126	5196
127	127	5189
128	128	5199
129	129	5199
130	130	5185
131	131	5191
132	132	5180
133	133	5194
134	134	5190
135	135	5194
136	136	5185
137	137	5180
138	138	5178
139	139	5184
140	140	5184
141	141	5186
142	142	5184
143	143	5176
144	144	5178
145	145	5177
146	146	5175
147	147	5179
148	148	5176
149	149	5185
150	150	5178
151	151	5168
152	152	5174
153	153	5173
154	154	5176
155	155	5185
156	156	5175
157	157	5182
158	158	5173
159	159	5187
160	160	5190
161	161	5182
162	162	5180
163	163	5181
164	164	5187
165	165	5180
166	166	5178
167	167	5178
168	168	5182
169	169	5177
170	170	5182
171	171	5179
172	172	5177
173	173	5179
174	174	5182
175	175	5173
176	176	5163
177	177	5181
178	178	5171
179	179	5175
180	180	5180
181	181	5168
182	182	5181
183	183	5176
184	184	5171
185	185	5172
186	186	5174
187	187	5176
188	188	5171
189	189	5170
190	190	5171
191	191	5167
192	192	5175
193	193	5174
194	194	5166
195	195	5169
196	196	5174
197	197	5172
198	198	5170
199	199	5169
200	200	5171
201	201	5174
202	202	5171
203	203	5173
204	204	5165
205	205	5173
206	206	5176
207	207	5170
208	208	5171
209	209	5166
210	210	5171
211	211	5174
212	212	5167
213	213	5167
214	214	5167
215	215	5167
216	216	5172
217	217	5166
218	218	5166
219	219	5162
220	220	5164
221	221	5149
222	222	5158
223	223	5160
224	224	5156
225	225	5156
226	226	5160
227	227	5155
228	228	5155
229	229	5164
230	230	5156
231	231	5157
232	232	5150
233	233	5149
234	234	5159
235	235	5159
236	236	5152
237	237	5156
238	238	5147
239	239	5154
240	240	5153
241	241	5147
242	242	5150
243	243	5155
244	244	5151
245	245	5150
246	246	5148
247	247	5151
248	248	5153
249	249	5160
250	250	5153
251	251	5151
252	252	5141
253	253	5151
254	254	5151
255	255	5147
256	256	5153
257	257	5152
258	258	5147
259	259	5147
260	260	5150
261	261	5147
262	262	5149
263	263	5147
264	264	5150
265	265	5150
266	266	5150
267	267	5144
268	268	5151
269	269	5151
270	270	5148
271	271	5145
272	272	5146
273	273	5150
274	274	5153
275	275	5145
276	276	5145
277	277	5148
278	278	5143
279	279	5140
280	280	5134
281	281	5138
282	282	5146
283	283	5140
284	284	5143
285	285	5136
286	286	5140
287	287	5144
288	288	5148
289	289	5139
290	290	5141
291	291	5142
292	292	5144
293	293	5147
294	294	5140
295	295	5142
296	296	5138
297	297	5141
298	298	5146
299	299	5144
300	300	5140
301	301	5141
302	302	5149
303	303	5145
304	304	5143
305	305	5141
306	306	5136
307	307	5147
308	308	5143
309	309	5136
310	310	5143
311	311	5145
312	312	5145
313	313	5141
314	314	5131
315	315	5129
316	316	5143
317	317	5136
318	318	5138
319	319	5138
320	320	5132
321	321	5135
322	322	5128
323	323	5134
324	324	5133
325	325	5132
326	326	5131
327	327	5136
328	328	5137
329	329	5138
330	330	5136
331	331	5137
332	332	5137
333	333	5129
334	334	5136
335	335	5138
336	336	5133
337	337	5134
338	338	5134
339	339	5134
340	340	5136
341	341	5129
342	342	5127
343	343	5134
344	344	5141
345	345	5131
346	346	5125
347	347	5132
348	348	5128
349	349	5130
350	350	5133
351	351	5130
352	352	5133
353	353	5134
354	354	5127
355	355	5128
356	356	5132
357	357	5131
358	358	5130
359	359	5137
360	360	5133
361	361	5128
362	362	5131
363	363	5133
364	364	5134
365	365	5129
366	366	5127
367	367	5124
368	368	5119
369	369	5136
370	370	5129
371	371	5129
372	372	5124
373	373	5134
374	374	5122
375	375	5121
376	376	5121
377	377	5130
378	378	5128
379	379	5132
380	380	5125
381	381	5121
382	382	5123
383	383	5126
384	384	5128
385	385	5126
386	386	5121
387	387	5122
388	388	5116
389	389	5123
390	390	5132
391	391	5122
392	392	5127
393	393	5120
394	394	5121
395	395	5117
396	396	5120
397	397	5120
398	398	5118
399	399	5124
400	400	5124
401	401	5127
402	402	5114
403	403	5122
404	404	5127
405	405	5115
406	406	5118
407	407	5113
408	408	5115
409	409	5112
410	410	5125
411	411	5121
412	412	5117
413	413	5118
414	414	5110
415	415	5113
416	416	5111
417	417	5115
418	418	5110
419	419	5107
420	420	5101
421	421	5106
422	422	5098
423	423	5104
424	424	5104
425	425	5104
426	426	5105
427	427	5105
428	428	5107
429	429	5111
430	430	5101
431	431	5107
432	432	5107
433	433	5100
434	434	5100
435	435	5099
436	436	5103
437	437	5107
438	438	5109
439	439	5104
440	440	5098
441	441	5107
442	442	5106
443	443	5099
444	444	5097
445	445	5099
446	446	5112
447	447	5101
448	448	5103
449	449	5103
450	450	5101
451	451	5103
452	452	5101
453	453	5099
454	454	5105
455	455	5095
456	456	5102
457	457	5102
458	458	5101
459	459	5100
460	460	5097
461	461	5100
462	462	5096
463	463	5097
464	464	5098
465	465	5094
466	466	5092
467	467	5089
468	468	5092
469	469	5098
470	470	5091
471	471	5096
472	472	5098
473	473	5097
474	474	5088
475	475	5095
476	476	5092
477	477	5094
478	478	5093
479	479	5086
480	480	5095
481	481	5086
482	482	5093
483	483	5096
484	484	5088
485	485	5096
486	486	5089
487	487	5089
488	488	5092
489	489	5089
490	490	5092
491	491	5095
492	492	5090
493	493	5089
494	494	5097
495	495	5093
496	496	5092
497	497	5094
498	498	5094
499	499	5094
500	500	5094
501	501	5086
502	502	5087
503	503	5092
504	504	5091
505	505	5092
506	506	5099
507	507	5102
508	508	5085
509	509	5088
510	510	5091
511	511	5094
512	512	5091
513	513	5079
514	514	5090
515	515	5087
516	516	5088
517	517	5085
518	518	5076
519	519	5083
520	520	5086
521	521	5079
522	522	5084
523	523	5079
524	524	5092
525	525	5090
526	526	5082
527	527	5081
528	528	5079
529	529	5085
530	530	5077
531	531	5081
532	532	5082
