 	slice	peaks
1	1	9881
2	2	9874
3	3	9871
4	4	9872
5	5	9874
6	6	9871
7	7	9873
8	8	9865
9	9	9863
10	10	9869
11	11	9864
12	12	9855
13	13	9859
14	14	9862
15	15	9850
16	16	9859
17	17	9844
18	18	9835
19	19	9837
20	20	9840
21	21	9841
22	22	9838
23	23	9837
24	24	9840
25	25	9834
26	26	9832
27	27	9826
28	28	9815
29	29	9822
30	30	9822
31	31	9817
32	32	9815
33	33	9810
34	34	9814
35	35	9819
36	36	9816
37	37	9815
38	38	9799
39	39	9808
40	40	9811
41	41	9811
42	42	9809
43	43	9804
44	44	9795
45	45	9793
46	46	9795
47	47	9799
48	48	9794
49	49	9789
50	50	9782
51	51	9786
52	52	9787
53	53	9785
54	54	9782
55	55	9775
56	56	9786
57	57	9780
58	58	9781
59	59	9779
60	60	9781
61	61	9782
62	62	9777
63	63	9772
64	64	9771
65	65	9773
66	66	9774
67	67	9759
68	68	9752
69	69	9753
70	70	9761
71	71	9766
72	72	9753
73	73	9755
74	74	9758
75	75	9761
76	76	9749
77	77	9744
78	78	9745
79	79	9755
80	80	9746
81	81	9745
82	82	9743
83	83	9740
84	84	9740
85	85	9743
86	86	9749
87	87	9742
88	88	9743
89	89	9746
90	90	9749
91	91	9745
92	92	9739
93	93	9736
94	94	9733
95	95	9734
96	96	9732
97	97	9727
98	98	9726
99	99	9731
100	100	9712
101	101	9717
102	102	9716
103	103	9715
104	104	9714
105	105	9713
106	106	9701
107	107	9702
108	108	9716
109	109	9714
110	110	9714
111	111	9705
112	112	9696
113	113	9703
114	114	9693
115	115	9695
116	116	9697
117	117	9692
118	118	9692
119	119	9689
120	120	9692
121	121	9685
122	122	9679
123	123	9693
124	124	9694
125	125	9687
126	126	9680
127	127	9683
128	128	9683
129	129	9682
130	130	9677
131	131	9676
132	132	9682
133	133	9674
134	134	9677
135	135	9677
136	136	9672
137	137	9675
138	138	9666
139	139	9665
140	140	9677
141	141	9670
142	142	9669
143	143	9668
144	144	9674
145	145	9660
146	146	9661
147	147	9666
148	148	9659
149	149	9659
150	150	9660
151	151	9651
152	152	9662
153	153	9659
154	154	9658
155	155	9660
156	156	9647
157	157	9649
158	158	9652
159	159	9653
160	160	9644
161	161	9642
162	162	9646
163	163	9651
164	164	9646
165	165	9634
166	166	9633
167	167	9639
168	168	9637
169	169	9634
170	170	9629
171	171	9632
172	172	9639
173	173	9631
174	174	9634
175	175	9631
176	176	9636
177	177	9626
178	178	9630
179	179	9632
180	180	9629
181	181	9623
182	182	9624
183	183	9619
184	184	9615
185	185	9621
186	186	9615
187	187	9619
188	188	9612
189	189	9612
190	190	9623
191	191	9615
192	192	9605
193	193	9606
194	194	9597
195	195	9600
196	196	9596
197	197	9602
198	198	9595
199	199	9593
200	200	9597
201	201	9590
202	202	9596
203	203	9592
204	204	9588
205	205	9583
206	206	9589
207	207	9582
208	208	9587
209	209	9584
210	210	9576
211	211	9589
212	212	9580
213	213	9577
214	214	9572
215	215	9568
216	216	9571
217	217	9570
218	218	9571
219	219	9564
220	220	9566
221	221	9573
222	222	9566
223	223	9566
224	224	9553
225	225	9556
226	226	9557
227	227	9561
228	228	9557
229	229	9560
230	230	9562
231	231	9554
232	232	9550
233	233	9546
234	234	9553
235	235	9542
236	236	9553
237	237	9557
238	238	9549
239	239	9547
240	240	9544
241	241	9552
242	242	9549
243	243	9542
244	244	9537
245	245	9527
246	246	9546
247	247	9540
248	248	9540
249	249	9530
250	250	9536
251	251	9532
252	252	9536
253	253	9532
254	254	9528
255	255	9528
256	256	9528
257	257	9526
258	258	9529
259	259	9525
260	260	9527
261	261	9525
262	262	9524
263	263	9519
264	264	9556
265	265	9513
266	266	9522
267	267	9515
268	268	9520
269	269	9518
270	270	9520
271	271	9518
272	272	9521
273	273	9516
274	274	9520
275	275	9514
276	276	9523
277	277	9512
278	278	9515
279	279	9512
280	280	9520
281	281	9511
282	282	9513
283	283	9509
284	284	9504
285	285	9504
286	286	9508
287	287	9503
288	288	9501
289	289	9493
290	290	9497
291	291	9507
292	292	9497
293	293	9498
294	294	9527
295	295	9493
296	296	9496
297	297	9489
298	298	9483
299	299	9527
300	300	9524
301	301	9489
302	302	9488
303	303	9483
304	304	9529
305	305	9482
306	306	9477
307	307	9481
308	308	9472
309	309	9523
310	310	9476
311	311	9486
312	312	9482
313	313	9483
314	314	9486
315	315	9480
316	316	9475
317	317	9478
318	318	9473
319	319	9466
320	320	9467
321	321	9473
322	322	9467
323	323	9451
324	324	9458
325	325	9463
326	326	9461
327	327	9455
328	328	9453
329	329	9452
330	330	9448
331	331	9442
332	332	9455
333	333	9488
334	334	9478
335	335	9484
336	336	9441
337	337	9438
338	338	9481
339	339	9476
340	340	9439
341	341	9437
342	342	9427
343	343	9423
344	344	9467
345	345	9473
346	346	9426
347	347	9425
348	348	9463
349	349	9466
350	350	9466
351	351	9426
352	352	9456
353	353	9459
354	354	9456
355	355	9426
356	356	9420
357	357	9418
358	358	9410
359	359	9418
360	360	9416
361	361	9421
362	362	9413
363	363	9414
364	364	9416
365	365	9417
366	366	9410
367	367	9415
368	368	9419
369	369	9407
370	370	9417
371	371	9398
372	372	9401
373	373	9399
374	374	9401
375	375	9410
376	376	9412
377	377	9403
378	378	9450
379	379	9448
380	380	9400
381	381	9394
382	382	9439
383	383	9441
384	384	9441
385	385	9390
386	386	9395
387	387	9429
388	388	9431
389	389	9435
390	390	9398
391	391	9394
392	392	9424
393	393	9426
394	394	9426
395	395	9426
396	396	9418
397	397	9416
398	398	9421
399	399	9418
400	400	9420
401	401	9418
402	402	9422
403	403	9412
404	404	9408
405	405	9418
406	406	9411
407	407	9413
408	408	9405
409	409	9418
410	410	9365
411	411	9365
412	412	9416
413	413	9409
414	414	9402
415	415	9407
416	416	9409
417	417	9411
418	418	9410
419	419	9400
420	420	9395
421	421	9384
422	422	9395
423	423	9395
424	424	9390
425	425	9385
426	426	9381
427	427	9382
428	428	9387
429	429	9386
430	430	9380
431	431	9378
432	432	9377
433	433	9391
434	434	9386
435	435	9375
436	436	9373
437	437	9381
438	438	9380
439	439	9379
440	440	9375
441	441	9374
442	442	9388
443	443	9374
444	444	9378
445	445	9376
446	446	9378
447	447	9380
448	448	9376
449	449	9371
450	450	9367
451	451	9371
452	452	9366
453	453	9362
454	454	9365
455	455	9367
456	456	9363
457	457	9353
458	458	9364
459	459	9363
460	460	9367
461	461	9365
462	462	9362
463	463	9353
464	464	9358
465	465	9349
466	466	9352
467	467	9350
468	468	9360
469	469	9356
470	470	9346
471	471	9347
472	472	9354
473	473	9347
474	474	9346
475	475	9345
476	476	9336
477	477	9343
478	478	9343
479	479	9336
480	480	9337
481	481	9335
482	482	9336
483	483	9333
484	484	9344
485	485	9334
486	486	9331
487	487	9330
488	488	9330
489	489	9333
490	490	9337
491	491	9325
492	492	9331
493	493	9326
494	494	9327
495	495	9329
496	496	9330
497	497	9329
498	498	9321
499	499	9325
500	500	9324
501	501	9326
502	502	9321
503	503	9319
504	504	9312
505	505	9313
506	506	9316
507	507	9315
508	508	9313
509	509	9314
510	510	9314
511	511	9312
512	512	9309
513	513	9309
514	514	9309
515	515	9305
516	516	9299
517	517	9302
518	518	9303
519	519	9300
520	520	9298
521	521	9290
522	522	9289
523	523	9283
524	524	9289
525	525	9287
526	526	9282
527	527	9276
528	528	9283
529	529	9278
530	530	9281
531	531	9276
532	532	9268
533	533	9269
534	534	9267
535	535	9269
536	536	9264
537	537	9253
538	538	9264
539	539	9265
540	540	9260
541	541	9263
542	542	9255
543	543	9253
544	544	9258
545	545	9248
546	546	9246
547	547	9246
548	548	9252
549	549	9241
550	550	9243
551	551	9240
552	552	9236
553	553	9233
554	554	9239
555	555	9235
556	556	9226
557	557	9219
558	558	9219
559	559	9205
560	560	9212
