 	slice	peaks
1	1	36208
2	2	36158
3	3	36170
4	4	36140
5	5	36171
6	6	36161
7	7	36135
8	8	36140
9	9	36171
10	10	36089
11	11	36155
12	12	36131
13	13	36110
14	14	36184
15	15	34625
16	16	34830
17	17	34841
18	18	34913
19	19	34839
20	20	34842
21	21	34817
22	22	34797
23	23	34813
24	24	34810
25	25	34848
26	26	34768
27	27	34826
28	28	34795
29	29	34861
30	30	34905
31	31	34902
32	32	34897
33	33	34900
34	34	34884
35	35	34837
36	36	34821
37	37	34886
38	38	34872
39	39	34834
40	40	34850
41	41	34880
42	42	35604
43	43	36023
44	44	34610
45	45	36120
46	46	34687
47	47	34710
48	48	34643
49	49	34636
50	50	34621
51	51	34615
52	52	34613
53	53	34636
54	54	34593
55	55	34608
56	56	34596
57	57	34637
58	58	34588
59	59	34596
60	60	34643
61	61	34565
62	62	34833
63	63	35103
64	64	35394
65	65	35671
66	66	35852
67	67	35839
68	68	35794
69	69	35823
70	70	35864
71	71	35774
72	72	35802
73	73	35850
74	74	35794
75	75	35826
76	76	35813
77	77	35869
78	78	35874
79	79	35901
80	80	35877
81	81	35877
82	82	35853
83	83	35334
84	84	35330
85	85	35328
86	86	35227
87	87	35209
88	88	35217
89	89	35248
90	90	35215
91	91	35206
92	92	35189
93	93	35121
94	94	35184
95	95	35100
96	96	35009
97	97	35069
98	98	35014
99	99	34994
100	100	34990
101	101	34937
102	102	34949
103	103	34669
104	104	35889
105	105	34932
106	106	34983
107	107	34957
108	108	34960
109	109	34959
110	110	34886
111	111	34897
112	112	34877
113	113	34855
114	114	34993
115	115	35003
116	116	34865
117	117	34740
118	118	34574
119	119	34510
120	120	34372
121	121	34274
122	122	34275
123	123	34226
124	124	34229
125	125	34109
126	126	34148
127	127	34136
128	128	34108
129	129	34184
130	130	34161
131	131	34124
132	132	34109
133	133	34159
134	134	34100
135	135	34111
136	136	34093
137	137	34088
138	138	34072
139	139	34066
140	140	34024
141	141	33995
142	142	34062
143	143	34088
144	144	34095
145	145	34066
146	146	34055
147	147	34008
148	148	34065
149	149	34019
150	150	34032
151	151	34039
152	152	34043
153	153	34068
154	154	34054
155	155	34006
156	156	34048
157	157	34016
158	158	34010
159	159	33967
160	160	33963
161	161	33973
162	162	33977
163	163	33992
164	164	33957
165	165	33969
166	166	33989
167	167	33975
168	168	33953
169	169	33989
170	170	33945
171	171	33951
172	172	34020
173	173	33948
174	174	33972
175	175	34000
176	176	33901
177	177	33922
178	178	33922
179	179	33875
180	180	33891
181	181	33872
182	182	35568
183	183	35504
184	184	35516
185	185	35530
186	186	35520
187	187	35533
188	188	35539
189	189	35502
190	190	35572
191	191	35515
192	192	35524
193	193	35539
194	194	35521
195	195	35490
196	196	35524
197	197	35510
198	198	35528
199	199	35499
200	200	33880
201	201	33908
202	202	33868
203	203	35533
204	204	35544
205	205	35555
206	206	35526
207	207	35499
208	208	33906
209	209	35504
210	210	33830
211	211	35503
212	212	35482
213	213	35531
214	214	35491
215	215	35438
216	216	35491
217	217	35476
218	218	35500
219	219	35483
220	220	35492
221	221	33828
222	222	33817
223	223	33813
224	224	33799
225	225	35519
226	226	35492
227	227	35465
228	228	35434
229	229	35470
230	230	33759
231	231	35486
232	232	33790
233	233	33839
234	234	33820
235	235	33835
236	236	33806
237	237	33819
238	238	35469
239	239	35480
240	240	35454
241	241	35444
242	242	35425
243	243	35441
244	244	35447
245	245	35409
246	246	35432
247	247	35484
248	248	35460
249	249	33750
250	250	33795
251	251	35430
252	252	33815
253	253	35444
254	254	35409
255	255	35384
256	256	35425
257	257	35362
258	258	35362
259	259	35407
260	260	35366
261	261	35368
262	262	35419
263	263	35397
264	264	35429
265	265	35380
266	266	35437
267	267	35356
268	268	35360
269	269	35379
270	270	35393
271	271	35404
272	272	35391
273	273	35391
274	274	35409
275	275	35389
276	276	35381
277	277	35362
278	278	35379
279	279	35366
280	280	35353
281	281	35337
282	282	35337
283	283	35382
284	284	35405
285	285	35388
286	286	35360
287	287	35381
288	288	35302
289	289	35327
290	290	35372
291	291	35311
292	292	35322
293	293	35384
294	294	35331
295	295	35337
296	296	35337
297	297	35366
298	298	35321
299	299	35330
300	300	35275
301	301	35359
302	302	35341
303	303	35315
304	304	35283
305	305	35260
306	306	35258
307	307	35264
308	308	35313
309	309	35305
310	310	35280
311	311	35299
312	312	35282
313	313	35344
314	314	35286
315	315	35273
316	316	35258
317	317	35297
318	318	35315
319	319	35261
320	320	35265
321	321	35232
322	322	35329
323	323	35276
324	324	35261
325	325	35285
326	326	35266
327	327	35233
328	328	35266
329	329	35257
330	330	35247
331	331	35228
332	332	35207
333	333	35247
334	334	35162
335	335	35183
336	336	35248
337	337	35225
338	338	35198
339	339	35195
340	340	35195
341	341	35214
342	342	35231
343	343	35220
344	344	35264
345	345	35216
346	346	35227
347	347	35248
348	348	35199
349	349	35228
350	350	35195
351	351	35219
352	352	35178
353	353	35186
354	354	35212
355	355	35233
356	356	35211
357	357	35162
358	358	35189
359	359	35188
360	360	35210
361	361	35146
362	362	35159
363	363	35166
364	364	35207
365	365	35154
366	366	35158
367	367	35187
368	368	35174
369	369	35206
370	370	35131
371	371	35174
372	372	35152
373	373	35114
374	374	35156
375	375	35152
376	376	35106
377	377	35150
378	378	35148
379	379	35145
380	380	35163
381	381	35143
382	382	35165
383	383	35127
384	384	35095
385	385	35093
386	386	35102
387	387	35066
388	388	35091
389	389	35101
390	390	35076
391	391	35075
392	392	35101
393	393	35084
394	394	35133
395	395	35068
396	396	35054
397	397	35124
398	398	35111
399	399	35101
400	400	35107
401	401	35130
402	402	35067
403	403	35067
404	404	35067
405	405	35119
406	406	35095
407	407	35099
408	408	35105
409	409	35059
410	410	35040
411	411	35088
412	412	35069
413	413	35052
414	414	35034
415	415	35073
416	416	35056
417	417	35054
418	418	35016
419	419	35022
420	420	35041
421	421	35070
422	422	35050
423	423	35046
424	424	35023
425	425	35003
426	426	35039
427	427	35027
428	428	35049
429	429	35024
430	430	35065
431	431	35003
432	432	34994
433	433	35059
434	434	35092
435	435	35021
436	436	35012
437	437	35002
438	438	34975
439	439	34958
440	440	34945
441	441	34981
442	442	34983
443	443	34931
444	444	34907
445	445	35040
446	446	34974
447	447	34943
448	448	34965
449	449	34944
450	450	34994
451	451	34934
452	452	34949
453	453	34952
454	454	34885
455	455	34920
456	456	34937
457	457	34909
458	458	34940
459	459	34887
460	460	34910
461	461	34899
462	462	34909
463	463	34916
464	464	34913
465	465	34905
466	466	34902
467	467	34932
468	468	34926
469	469	34885
470	470	34918
471	471	34888
472	472	34888
473	473	34924
474	474	34869
475	475	34910
476	476	34886
477	477	34897
478	478	34891
479	479	34926
480	480	34856
481	481	34901
482	482	34910
483	483	34900
484	484	34875
485	485	34913
486	486	34915
487	487	34882
488	488	34875
489	489	34845
490	490	34913
491	491	34856
492	492	34842
493	493	34887
494	494	34845
495	495	34810
496	496	34836
497	497	34861
498	498	34802
499	499	34859
500	500	34864
501	501	34827
502	502	34860
503	503	34868
504	504	34869
505	505	34859
506	506	34838
507	507	34878
508	508	34822
509	509	34816
510	510	34815
511	511	34797
512	512	34847
513	513	34811
514	514	34820
515	515	34807
516	516	34784
517	517	34833
518	518	34829
519	519	34785
520	520	34716
521	521	34752
522	522	34755
523	523	34783
524	524	34773
525	525	34812
526	526	34797
527	527	34806
528	528	34755
529	529	34793
530	530	34769
531	531	34758
532	532	34773
533	533	34798
534	534	34766
535	535	34762
536	536	34765
537	537	34745
538	538	34780
539	539	34771
540	540	34734
541	541	34764
542	542	34719
543	543	34745
544	544	34729
545	545	34750
546	546	34680
547	547	34714
548	548	34725
549	549	34750
550	550	34696
551	551	34737
552	552	34719
553	553	34726
554	554	34690
555	555	34679
556	556	34729
557	557	34758
558	558	34777
559	559	34709
560	560	34734
561	561	34723
562	562	34706
563	563	34710
564	564	34716
565	565	34704
566	566	34718
567	567	34717
568	568	34685
569	569	34676
570	570	34657
571	571	34677
572	572	34691
573	573	34708
574	574	34690
575	575	34668
576	576	34690
577	577	34661
578	578	34679
579	579	34728
580	580	34684
581	581	34670
582	582	34695
583	583	34702
584	584	34673
585	585	34663
586	586	34669
587	587	34658
588	588	34665
589	589	34644
590	590	34677
591	591	34674
592	592	34665
593	593	34670
594	594	34697
595	595	34639
596	596	34672
597	597	34670
598	598	34651
599	599	34658
600	600	34689
601	601	34643
602	602	34646
603	603	34614
604	604	34681
605	605	34638
606	606	34677
607	607	34678
608	608	34715
609	609	34725
610	610	34753
611	611	34746
612	612	34701
613	613	34704
614	614	34685
615	615	34700
616	616	34670
617	617	34666
618	618	34604
619	619	34647
620	620	34622
621	621	34660
622	622	34685
623	623	34720
624	624	34730
625	625	34683
626	626	34648
627	627	34634
628	628	34625
629	629	34609
630	630	34615
631	631	34564
632	632	34605
633	633	34623
634	634	34610
635	635	34573
636	636	34582
637	637	34425
638	638	34444
639	639	34494
640	640	34505
641	641	34499
642	642	34486
643	643	34521
644	644	34519
645	645	34503
646	646	34500
647	647	34516
648	648	34509
649	649	34524
650	650	34520
651	651	34537
652	652	34469
653	653	34465
654	654	34485
655	655	34456
656	656	34483
657	657	34554
658	658	34488
659	659	34472
660	660	34503
661	661	34509
662	662	34490
663	663	34515
664	664	34503
665	665	34480
666	666	34477
667	667	34463
668	668	34463
669	669	34441
670	670	34462
671	671	34512
672	672	34498
673	673	34449
674	674	34425
675	675	34478
676	676	34406
677	677	34455
678	678	34449
679	679	34489
680	680	34494
681	681	34449
682	682	34421
683	683	34472
684	684	34456
685	685	34460
686	686	34517
687	687	34472
688	688	34483
689	689	34450
690	690	34483
691	691	34421
692	692	34410
693	693	34425
694	694	34453
695	695	34453
696	696	34403
697	697	34423
698	698	34425
699	699	34443
700	700	34439
701	701	34460
702	702	34466
703	703	34434
704	704	34419
705	705	34439
706	706	34444
707	707	34454
708	708	34456
709	709	34455
710	710	34444
711	711	34479
712	712	34453
713	713	34423
714	714	34440
715	715	34443
716	716	34462
717	717	34446
718	718	34442
719	719	34364
720	720	34399
721	721	34440
722	722	34411
723	723	34411
724	724	34437
725	725	34411
726	726	34400
727	727	34452
728	728	34450
729	729	34374
730	730	34417
731	731	34484
732	732	34429
733	733	34441
734	734	34425
735	735	34453
736	736	34450
737	737	34439
738	738	34393
739	739	34439
740	740	34441
741	741	34424
742	742	34357
743	743	34403
744	744	34417
745	745	34331
746	746	34316
747	747	34363
748	748	34315
749	749	34314
750	750	34289
751	751	34286
752	752	34266
753	753	34274
754	754	34238
755	755	34211
756	756	34232
757	757	34187
758	758	34160
759	759	34107
760	760	34149
761	761	34078
762	762	34108
763	763	34100
764	764	34039
765	765	33985
766	766	33987
767	767	33897
768	768	33933
769	769	33926
770	770	33875
771	771	33875
772	772	33836
773	773	33737
774	774	33654
775	775	33664
776	776	33642
777	777	33548
778	778	33546
779	779	33498
780	780	33507
781	781	33427
782	782	33396
783	783	33386
784	784	33316
785	785	33284
786	786	33211
787	787	33188
788	788	33154
789	789	33156
790	790	33027
791	791	33005
792	792	32972
793	793	32884
794	794	32864
795	795	32733
796	796	32726
797	797	32628
798	798	32568
799	799	32553
800	800	32455
801	801	32409
802	802	32346
803	803	32321
804	804	32209
805	805	32170
806	806	32097
807	807	32081
808	808	31991
809	809	31934
810	810	31890
811	811	31850
812	812	31815
813	813	31758
814	814	31645
815	815	31622
816	816	31543
817	817	31480
818	818	31448
819	819	31359
820	820	31328
821	821	31261
822	822	31197
823	823	31109
824	824	31050
825	825	30957
826	826	30960
827	827	30841
828	828	30773
829	829	30713
830	830	30645
831	831	30553
832	832	30559
833	833	30448
834	834	30385
835	835	30352
836	836	30267
837	837	30210
838	838	30103
839	839	30092
840	840	29997
841	841	29940
842	842	29863
843	843	29825
844	844	29669
845	845	29573
846	846	29520
847	847	29491
848	848	29454
849	849	29370
850	850	29283
851	851	29189
852	852	29134
853	853	29072
854	854	28997
855	855	28947
856	856	28857
857	857	28788
858	858	28774
859	859	28677
860	860	28604
861	861	28524
862	862	28486
863	863	28454
864	864	28323
865	865	28322
866	866	28225
867	867	28122
868	868	28069
869	869	27999
870	870	27911
871	871	27841
872	872	27814
873	873	27764
874	874	27728
875	875	27638
876	876	27629
877	877	27564
878	878	27460
879	879	27421
880	880	27348
881	881	27293
882	882	27217
883	883	27217
884	884	27151
885	885	27044
886	886	27031
887	887	26961
888	888	26913
889	889	26872
890	890	26834
891	891	26757
892	892	26740
893	893	26621
894	894	26601
895	895	26509
896	896	26435
897	897	26408
898	898	26352
899	899	26285
900	900	26239
901	901	26125
902	902	26111
903	903	26044
904	904	26035
905	905	25931
906	906	25892
907	907	25821
908	908	25754
909	909	25707
910	910	25670
911	911	25608
912	912	25534
913	913	25534
914	914	25494
915	915	25410
916	916	25358
917	917	25318
918	918	25260
919	919	25186
920	920	25137
921	921	25114
922	922	25025
923	923	25028
924	924	24969
925	925	24877
926	926	24825
927	927	24748
928	928	24772
929	929	24686
930	930	24662
931	931	24579
932	932	24542
933	933	24515
934	934	24415
935	935	24362
936	936	24396
937	937	24324
938	938	24247
939	939	24218
940	940	24152
941	941	24114
942	942	24090
943	943	24061
944	944	23967
945	945	23939
946	946	23900
947	947	23855
948	948	23822
949	949	23781
950	950	23717
951	951	23688
952	952	23619
953	953	23583
954	954	23516
955	955	23505
956	956	23441
957	957	23418
958	958	23362
959	959	23362
960	960	23274
961	961	23242
962	962	23155
963	963	23173
964	964	23083
965	965	23093
966	966	23026
967	967	22982
968	968	22968
969	969	22941
970	970	22918
971	971	22870
972	972	22794
973	973	22814
974	974	22730
975	975	22677
976	976	22624
977	977	22594
978	978	22569
979	979	22550
980	980	22538
981	981	22477
982	982	22423
983	983	22400
984	984	22393
985	985	22341
986	986	22294
987	987	22269
988	988	22248
989	989	22222
990	990	22190
991	991	22149
992	992	22138
993	993	22089
994	994	22059
995	995	22000
996	996	21947
997	997	21920
998	998	21883
999	999	21892
1000	1000	21814
1001	1001	21810
1002	1002	21765
1003	1003	21729
1004	1004	21703
1005	1005	21692
1006	1006	21639
1007	1007	21604
1008	1008	21623
1009	1009	21553
1010	1010	21497
1011	1011	21527
1012	1012	21482
1013	1013	21462
1014	1014	21445
1015	1015	21408
1016	1016	21391
1017	1017	21344
1018	1018	21318
1019	1019	21308
1020	1020	21260
1021	1021	21270
1022	1022	21290
1023	1023	21218
1024	1024	21186
1025	1025	21151
1026	1026	21150
1027	1027	21064
1028	1028	21076
1029	1029	21035
1030	1030	21002
1031	1031	20994
1032	1032	20945
1033	1033	20912
1034	1034	20900
1035	1035	20831
1036	1036	20828
1037	1037	20808
1038	1038	20822
1039	1039	20769
1040	1040	20755
1041	1041	20721
1042	1042	20707
1043	1043	20664
1044	1044	20624
1045	1045	20602
1046	1046	20599
1047	1047	20571
1048	1048	20547
1049	1049	20519
1050	1050	20487
1051	1051	20461
1052	1052	20419
1053	1053	20436
1054	1054	20381
1055	1055	20375
1056	1056	20364
1057	1057	20342
1058	1058	20302
1059	1059	20251
1060	1060	20277
1061	1061	20253
1062	1062	20203
1063	1063	20218
1064	1064	20164
1065	1065	20187
1066	1066	20107
1067	1067	20088
1068	1068	20047
1069	1069	20072
1070	1070	20046
1071	1071	20031
1072	1072	20003
1073	1073	19941
1074	1074	19917
1075	1075	19934
1076	1076	19881
1077	1077	19886
1078	1078	19830
1079	1079	19822
1080	1080	19806
1081	1081	19806
1082	1082	19768
1083	1083	19767
1084	1084	19744
1085	1085	19707
1086	1086	19667
1087	1087	19669
1088	1088	19653
1089	1089	19657
1090	1090	19589
1091	1091	19596
1092	1092	19576
1093	1093	19540
1094	1094	19546
1095	1095	19527
1096	1096	19502
1097	1097	19480
1098	1098	19480
1099	1099	19443
1100	1100	19492
1101	1101	19402
1102	1102	19393
1103	1103	19363
1104	1104	19359
1105	1105	19339
1106	1106	19326
1107	1107	19319
1108	1108	19338
1109	1109	19300
1110	1110	19262
1111	1111	19228
1112	1112	19273
1113	1113	19217
1114	1114	19215
1115	1115	19141
1116	1116	19150
1117	1117	19139
1118	1118	19121
1119	1119	19093
1120	1120	19113
1121	1121	19128
1122	1122	19054
1123	1123	19045
1124	1124	19037
1125	1125	19036
1126	1126	19038
1127	1127	18978
1128	1128	18982
1129	1129	18954
1130	1130	18951
1131	1131	18932
1132	1132	18895
1133	1133	18872
1134	1134	18880
1135	1135	18882
1136	1136	18852
1137	1137	18847
1138	1138	18831
1139	1139	18802
1140	1140	18799
1141	1141	18776
1142	1142	18768
1143	1143	18751
1144	1144	18732
1145	1145	18691
1146	1146	18685
1147	1147	18686
1148	1148	18667
1149	1149	18637
1150	1150	18646
1151	1151	18645
1152	1152	18627
1153	1153	18561
1154	1154	18585
1155	1155	18562
1156	1156	18574
1157	1157	18584
1158	1158	18561
1159	1159	18545
1160	1160	18533
1161	1161	18519
1162	1162	18508
1163	1163	18519
1164	1164	18467
1165	1165	18449
1166	1166	18442
1167	1167	18426
1168	1168	18374
1169	1169	18391
1170	1170	18383
1171	1171	18361
1172	1172	18335
1173	1173	18324
1174	1174	18291
1175	1175	18328
1176	1176	18294
1177	1177	18303
1178	1178	18261
1179	1179	18280
1180	1180	18228
1181	1181	18252
1182	1182	18250
1183	1183	18207
1184	1184	18193
1185	1185	18188
1186	1186	18195
1187	1187	18167
1188	1188	18159
1189	1189	18173
1190	1190	18109
1191	1191	18112
1192	1192	18125
1193	1193	18110
1194	1194	18102
1195	1195	18067
1196	1196	18083
1197	1197	18043
1198	1198	18059
1199	1199	18026
1200	1200	17979
1201	1201	17956
1202	1202	17980
1203	1203	17930
1204	1204	17946
1205	1205	17922
1206	1206	17906
1207	1207	17878
1208	1208	17915
1209	1209	17885
1210	1210	17859
1211	1211	17856
1212	1212	17855
1213	1213	17854
1214	1214	17825
1215	1215	17835
1216	1216	17832
1217	1217	17809
1218	1218	17813
1219	1219	17785
1220	1220	17793
1221	1221	17761
1222	1222	17733
1223	1223	17705
1224	1224	17687
1225	1225	17706
1226	1226	17688
1227	1227	17690
1228	1228	17644
1229	1229	17636
1230	1230	17618
1231	1231	17651
1232	1232	17607
1233	1233	17608
1234	1234	17578
1235	1235	17567
1236	1236	17554
1237	1237	17519
1238	1238	17558
1239	1239	17532
1240	1240	17543
1241	1241	17528
1242	1242	17506
1243	1243	17484
1244	1244	17454
1245	1245	17440
1246	1246	17478
1247	1247	17497
1248	1248	17426
1249	1249	17452
1250	1250	17391
1251	1251	17412
1252	1252	17393
1253	1253	17392
1254	1254	17369
1255	1255	17375
1256	1256	17405
1257	1257	17345
1258	1258	17357
1259	1259	17342
1260	1260	17319
1261	1261	17334
1262	1262	17331
1263	1263	17319
1264	1264	17297
1265	1265	17302
1266	1266	17246
1267	1267	17265
1268	1268	17253
1269	1269	17253
1270	1270	17224
1271	1271	17225
1272	1272	17225
1273	1273	17204
1274	1274	17175
1275	1275	17189
1276	1276	17199
1277	1277	17158
1278	1278	17188
1279	1279	17152
1280	1280	17131
1281	1281	17145
1282	1282	17098
1283	1283	17104
1284	1284	17101
1285	1285	17098
1286	1286	17075
1287	1287	17067
1288	1288	17072
1289	1289	17047
1290	1290	17050
1291	1291	17012
1292	1292	17031
1293	1293	17015
1294	1294	17031
1295	1295	16987
1296	1296	17018
1297	1297	17001
1298	1298	16988
1299	1299	16991
1300	1300	16993
1301	1301	16984
1302	1302	16936
1303	1303	16911
1304	1304	16907
1305	1305	16957
1306	1306	16936
1307	1307	16913
1308	1308	16911
1309	1309	16901
1310	1310	16900
1311	1311	16844
1312	1312	16853
1313	1313	16859
1314	1314	16824
1315	1315	16839
1316	1316	16823
1317	1317	16821
1318	1318	16810
1319	1319	16793
1320	1320	16813
1321	1321	16761
1322	1322	16764
1323	1323	16776
1324	1324	16759
1325	1325	16770
1326	1326	16762
1327	1327	16754
1328	1328	16728
1329	1329	16751
1330	1330	16717
1331	1331	16698
1332	1332	16684
1333	1333	16676
1334	1334	16704
1335	1335	16678
1336	1336	16666
1337	1337	16626
1338	1338	17213
1339	1339	16686
1340	1340	17213
1341	1341	17203
1342	1342	16644
1343	1343	16636
1344	1344	17170
1345	1345	17180
1346	1346	17149
1347	1347	17156
1348	1348	17123
1349	1349	17113
1350	1350	17128
1351	1351	17123
1352	1352	17120
1353	1353	17084
1354	1354	17094
1355	1355	17099
1356	1356	16523
1357	1357	17079
1358	1358	17075
1359	1359	17071
1360	1360	17048
1361	1361	17045
1362	1362	17041
1363	1363	17043
1364	1364	17017
1365	1365	17000
1366	1366	17013
1367	1367	16999
1368	1368	16969
1369	1369	16969
