 	slice	peaks
1	1	14049
2	2	14055
3	3	14052
4	4	14030
5	5	14039
6	6	14043
7	7	14019
8	8	14028
9	9	14023
10	10	14018
11	11	14011
12	12	14010
13	13	14005
14	14	13997
15	15	13996
16	16	13980
17	17	13960
18	18	13971
19	19	13967
20	20	13959
21	21	13943
22	22	13964
23	23	13946
24	24	13957
25	25	13932
26	26	13931
27	27	13946
28	28	13926
29	29	13912
30	30	13928
31	31	13914
32	32	13919
33	33	13912
34	34	13905
35	35	13906
36	36	13879
37	37	13875
38	38	13879
39	39	13877
40	40	13866
41	41	13872
42	42	13858
43	43	13851
44	44	13850
45	45	13847
46	46	13860
47	47	13849
48	48	13849
49	49	13843
50	50	13816
51	51	13823
52	52	13815
53	53	13811
54	54	13810
55	55	13818
56	56	13815
57	57	13803
58	58	13786
59	59	13799
60	60	13780
61	61	13794
62	62	13783
63	63	13778
64	64	13761
65	65	13764
66	66	13770
67	67	13757
68	68	13757
69	69	13734
70	70	13737
71	71	13725
72	72	13742
73	73	13709
74	74	13711
75	75	13688
76	76	13702
77	77	13694
78	78	13690
79	79	13678
80	80	13700
81	81	13676
82	82	13682
83	83	13675
84	84	13660
85	85	13617
86	86	13633
87	87	13648
88	88	13653
89	89	13632
90	90	13623
91	91	13624
92	92	13618
93	93	13629
94	94	13620
95	95	13594
96	96	13610
97	97	13611
98	98	13595
99	99	13608
100	100	13568
101	101	13588
102	102	13572
103	103	13563
104	104	13578
105	105	13564
106	106	13562
107	107	13551
108	108	13559
109	109	13561
110	110	13562
111	111	13556
112	112	13559
113	113	13532
114	114	13525
115	115	13540
116	116	13534
117	117	13534
118	118	13537
119	119	13544
120	120	13527
121	121	13547
122	122	13532
123	123	13530
124	124	13500
125	125	13503
126	126	13489
127	127	13490
128	128	13503
129	129	13500
130	130	13493
131	131	13496
132	132	13475
133	133	13490
134	134	13499
135	135	13483
136	136	13495
137	137	13495
138	138	13486
139	139	13471
140	140	13470
141	141	13490
142	142	13468
143	143	13455
144	144	13471
145	145	13449
146	146	13464
147	147	13472
148	148	13452
149	149	13450
150	150	13447
151	151	13448
152	152	13445
153	153	13441
154	154	13442
155	155	13437
156	156	13431
157	157	13436
158	158	13439
159	159	13433
160	160	13427
161	161	13415
162	162	13417
163	163	13415
164	164	13420
165	165	13421
166	166	13427
167	167	13419
168	168	13431
169	169	13411
170	170	13427
171	171	13434
172	172	13416
173	173	13420
174	174	13406
175	175	13425
176	176	13398
177	177	13390
178	178	13409
179	179	13402
180	180	13407
181	181	13394
182	182	13387
183	183	13409
184	184	13396
185	185	13392
186	186	13383
187	187	13382
188	188	13349
189	189	13369
190	190	13379
191	191	13352
192	192	13356
193	193	13364
194	194	13358
195	195	13372
196	196	13365
197	197	13340
198	198	13338
