 	trajectory	start	end
1	2	199.200	231.300
2	14	174.150	210.150
3	103	189.600	298.950
4	143	172.500	216.750
5	156	174.450	273.000
6	182	178.350	224.850
7	184	179.550	234.750
8	188	226.800	267.000
9	236	270.900	350.700
10	241	172.050	201.750
11	256	180.450	245.700
12	272	178.650	247.500
13	278	195.000	249.150
14	279	178.650	229.500
15	287	173.250	213.600
16	291	184.350	233.850
17	312	187.950	302.700
18	333	171.150	209.700
19	358	242.100	286.650
20	359	187.800	225.900
21	370	185.700	273.750
22	373	181.500	265.650
23	400	180.450	251.700
24	401	208.200	242.250
25	419	207.750	335.100
26	422	186.000	268.500
27	423	178.650	246.900
28	424	189.450	261.300
29	436	181.500	223.500
30	443	182.850	242.250
31	453	247.800	322.200
32	458	184.050	266.400
33	466	180.300	251.550
34	485	222.150	271.350
35	487	185.850	244.050
36	494	175.500	238.500
37	514	203.100	296.700
38	522	180.600	241.650
39	525	178.050	218.400
40	562	223.500	263.700
41	563	195.300	304.650
42	569	178.950	235.500
43	571	216.600	299.100
44	572	227.250	295.650
45	580	179.850	228.000
46	585	193.200	297.150
47	590	210.150	290.100
48	591	178.050	247.650
49	598	218.100	338.400
50	600	185.550	231.300
51	605	195.450	225.000
52	608	205.200	350.400
53	624	178.200	224.400
54	627	189.600	283.950
55	629	201.900	267.900
56	631	203.550	275.850
57	641	173.550	226.050
58	642	202.950	245.100
59	652	204.450	277.050
60	665	190.050	242.400
61	671	315.450	338.550
62	677	184.050	260.400
63	678	177.600	222.150
64	680	178.800	223.500
65	682	182.100	256.650
66	685	180.300	271.650
67	686	192.150	228.000
68	700	201.750	253.800
69	701	191.550	289.950
70	703	186.000	252.000
71	710	194.400	339.450
72	725	191.850	318.450
73	726	175.050	237.150
74	746	175.500	255.900
75	747	178.500	270.450
76	748	170.250	196.650
77	758	204.000	280.950
78	761	176.700	240.450
79	766	182.850	274.050
80	768	202.800	312.900
81	771	254.550	305.550
82	775	194.550	306.750
83	778	222.300	312.600
84	779	205.650	255.600
85	780	181.350	238.350
86	783	201.300	273.000
87	791	205.500	263.250
88	792	183.900	223.500
89	806	213.300	354.600
90	830	205.050	294.750
91	833	184.950	216.900
92	837	194.550	270.750
93	838	193.800	277.350
94	840	175.200	194.850
95	847	213.900	313.200
96	849	181.800	240.300
97	850	225.600	258.600
98	851	181.200	219.300
99	853	192.150	266.850
100	859	218.100	263.550
101	883	192.900	231.150
102	885	186.450	241.650
103	889	181.500	233.250
104	895	184.950	258.300
105	903	173.850	235.350
106	909	182.700	277.500
107	924	183.750	267.000
108	961	174.750	237.000
109	983	184.050	271.350
110	1025	191.700	276.600
111	1050	213.450	277.800
112	1112	182.400	262.050
113	1114	183.450	263.700
114	1154	170.250	202.800
115	1165	187.200	283.650
116	1170	201.750	262.650
117	1321	201.600	290.850
118	1325	183.150	244.050
119	1359	189.150	197.100
120	1442	183.300	259.200
121	1476	238.950	257.550
122	1508	198.150	265.350
123	1528	183.750	323.250
124	1540	214.500	250.050
125	1563	170.700	209.550
126	1575	175.800	242.550
127	1602	190.800	221.400
128	1621	211.950	231.450
129	1640	219.000	229.500
130	1654	185.100	248.850
131	1655	187.950	261.000
132	1660	191.850	208.800
133	1685	181.800	229.350
134	1696	173.100	204.600
135	1709	180.750	257.850
136	1774	211.050	301.350
137	1796	208.800	232.200
138	1814	194.100	274.200
139	1815	195.750	209.400
140	1893	230.850	246.000
141	1897	229.950	265.050
142	1909	208.500	223.950
143	1917	244.950	253.200
144	1928	227.400	277.650
145	1938	223.500	310.200
146	1961	222.600	254.400
147	1987	265.350	273.750
148	2005	330.000	356.250
149	2018	239.550	300.900
150	2020	237.300	253.500
151	2023	248.400	255.000
152	2027	239.850	272.250
153	2044	283.800	293.100
154	2048	246.000	265.350
155	2055	248.400	266.250
156	2056	249.900	265.950
157	2060	279.900	310.350
158	2069	253.950	268.650
159	2076	257.100	279.600
160	2078	273.150	280.500
161	2085	268.650	323.400
162	2086	271.350	322.650
163	2087	262.050	279.000
164	2092	273.000	339.900
165	2099	266.850	281.250
166	2109	270.600	281.850
167	2118	291.450	351.900
168	2133	289.800	300.000
169	2139	278.700	290.700
170	2141	285.750	299.100
171	2159	288.300	306.000
172	2185	301.950	320.100
173	2220	317.250	331.350
