 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr[um]	y_corr[um]	Time	st dev x	st dev y
1	22619	42.160	68.770	291.063	390.069	0.653	0.748	334	35	0.046	-0.028	50.100	0.000	0.000
2	22620	42.117	71.820	291.050	390.151	0.666	0.733	335	35	0.022	0.061	50.250	0.017	0.063
3	22621	42.781	70.730	291.048	390.113	0.644	0.708	336	35	-0.003	0.029	50.400	0.024	0.045
4	22622	42.225	70.223	291.068	390.056	0.657	0.728	337	35	0.052	-0.055	50.550	0.025	0.053
5	22623	42.228	71.525	291.051	390.078	0.638	0.710	338	35	0.014	-0.044	50.700	0.023	0.050
6	22624	42.405	69.973	291.055	390.052	0.627	0.719	339	35	0.013	-0.068	50.850	0.021	0.051
7	22625	42.493	71.762	291.055	390.126	0.635	0.729	340	35	0.023	0.039	51.000	0.019	0.051
8	22626	42.329	67.303	291.092	390.070	0.666	0.724	341	35	0.100	-0.071	51.150	0.032	0.052
9	22627	42.166	69.868	291.055	390.084	0.651	0.727	342	35	0.023	-0.004	51.300	0.030	0.049
10	22628	41.635	67.495	291.049	390.008	0.663	0.743	343	35	0.011	-0.137	51.450	0.029	0.060
11	22629	42.265	71.436	291.061	390.033	0.653	0.703	344	35	0.021	-0.102	51.600	0.028	0.061
12	22630	42.486	71.459	291.083	390.052	0.648	0.695	345	35	0.066	-0.074	51.750	0.029	0.060
13	22631	42.028	69.079	291.069	390.070	0.670	0.731	346	35	0.048	-0.034	51.900	0.028	0.057
14	22632	41.968	67.639	291.025	390.141	0.644	0.706	347	35	-0.010	0.068	52.050	0.029	0.062
15	22633	42.414	67.879	291.030	389.988	0.672	0.739	348	35	-0.021	-0.166	52.200	0.031	0.069
16	22634	42.940	69.677	291.054	390.064	0.648	0.722	349	35	-0.016	-0.052	52.350	0.032	0.067
17	22635	43.915	72.161	291.075	390.189	0.665	0.720	350	35	0.012	0.145	52.500	0.031	0.079
18	22636	42.571	71.856	291.047	390.154	0.648	0.691	351	35	-0.013	0.099	52.650	0.031	0.082
19	22637	42.453	67.241	291.071	390.070	0.644	0.723	352	35	0.005	-0.038	52.800	0.031	0.080
20	22638	42.468	70.346	291.088	389.990	0.653	0.714	353	35	0.058	-0.186	52.950	0.031	0.086
21	22639	42.739	73.041	291.080	390.115	0.635	0.703	354	35	0.021	0.005	53.100	0.030	0.086
22	22640	42.319	69.943	291.132	390.065	0.630	0.741	355	35	0.093	-0.067	53.250	0.034	0.084
23	22641	42.519	73.799	291.099	390.132	0.617	0.704	356	35	0.066	0.031	53.400	0.035	0.084
24	22642	42.260	70.153	291.123	390.050	0.630	0.746	357	35	0.081	-0.084	53.550	0.037	0.085
25	22643	42.146	68.296	291.082	390.075	0.662	0.718	358	35	0.010	-0.048	53.700	0.037	0.085
26	22644	42.608	71.914	291.073	389.979	0.654	0.728	359	35	0.017	-0.207	53.850	0.037	0.093
27	22645	42.450	68.402	291.077	390.076	0.661	0.743	360	35	0.035	-0.065	54.000	0.037	0.091
28	22646	43.058	69.244	291.100	390.085	0.651	0.720	361	35	0.072	-0.031	54.150	0.034	0.090
29	22647	42.385	71.417	291.097	390.019	0.630	0.736	362	35	0.072	-0.157	54.300	0.036	0.093
30	22648	42.191	69.888	291.083	389.979	0.650	0.727	363	35	0.050	-0.222	54.450	0.035	0.099
31	22649	42.401	72.462	291.066	390.048	0.643	0.715	364	35	0.010	-0.111	54.600	0.036	0.099
32	22650	42.369	68.602	291.059	390.060	0.661	0.764	365	35	0.010	-0.078	54.750	0.035	0.099
33	22651	42.231	71.255	291.072	390.080	0.661	0.718	366	35	0.030	-0.044	54.900	0.035	0.099
34	22652	42.613	70.493	291.068	390.110	0.640	0.733	367	35	0.029	-0.008	55.050	0.034	0.095
35	22653	42.293	65.449	291.093	389.972	0.671	0.741	368	35	0.073	-0.212	55.200	0.033	0.098
36	22654	42.303	72.162	291.064	390.013	0.643	0.707	369	35	0.034	-0.151	55.350	0.030	0.100
37	22655	42.456	72.162	291.075	390.058	0.617	0.716	370	35	0.038	-0.058	55.500	0.030	0.086
38	22656	42.425	70.886	291.053	390.047	0.648	0.714	371	35	0.018	-0.047	55.650	0.027	0.076
39	22657	43.094	67.128	291.104	390.105	0.650	0.712	372	35	0.090	0.026	55.800	0.028	0.079
40	22658	42.369	71.238	291.105	389.982	0.635	0.746	373	35	0.086	-0.156	55.950	0.029	0.077
41	22659	42.220	73.268	291.079	389.971	0.650	0.729	374	35	0.046	-0.199	56.100	0.029	0.078
42	22660	42.226	71.635	291.095	390.007	0.646	0.708	375	35	0.073	-0.154	56.250	0.028	0.079
43	22661	42.337	71.849	291.077	390.081	0.650	0.710	376	35	0.073	-0.030	56.400	0.028	0.075
44	22662	42.104	68.839	291.064	390.025	0.654	0.756	377	35	0.028	-0.129	56.550	0.027	0.075
45	22663	42.397	71.416	291.087	390.090	0.636	0.716	378	35	0.079	-0.021	56.700	0.027	0.076
46	22664	42.194	67.787	291.093	390.016	0.660	0.724	379	35	0.082	-0.125	56.850	0.027	0.073
47	22665	42.812	69.044	291.105	389.967	0.658	0.733	380	35	0.115	-0.218	57.000	0.030	0.077
48	22666	42.393	71.654	291.065	390.094	0.636	0.718	381	35	0.046	0.004	57.150	0.030	0.079
49	22667	42.342	71.210	291.066	390.036	0.642	0.710	382	35	0.060	-0.082	57.300	0.029	0.078
50	22668	41.894	67.299	291.067	390.060	0.679	0.739	383	35	0.033	-0.054	57.450	0.030	0.073
51	22669	42.041	67.518	291.063	390.062	0.657	0.742	384	35	0.056	-0.047	57.600	0.028	0.074
52	22670	42.215	70.742	291.061	390.139	0.635	0.703	385	35	0.039	0.085	57.750	0.026	0.084
53	22671	42.162	72.508	291.062	390.177	0.642	0.715	386	35	0.050	0.160	57.900	0.026	0.099
54	22672	42.249	68.337	291.073	390.171	0.652	0.727	387	35	0.073	0.128	58.050	0.025	0.108
55	22673	41.960	67.326	291.061	390.086	0.682	0.724	388	35	0.059	-0.003	58.200	0.025	0.103
56	22674	42.231	67.211	291.056	389.971	0.654	0.748	389	35	0.048	-0.193	58.350	0.024	0.106
57	22675	41.819	69.528	291.058	390.017	0.652	0.726	390	35	0.042	-0.100	58.500	0.024	0.106
58	22676	42.809	67.573	291.057	390.053	0.687	0.728	391	35	0.037	-0.038	58.650	0.022	0.106
59	22677	42.265	70.011	291.061	390.032	0.632	0.730	392	35	0.059	-0.080	58.800	0.021	0.104
60	22678	41.828	67.153	291.081	389.959	0.663	0.759	393	35	0.078	-0.189	58.950	0.021	0.106
61	22679	42.197	70.617	291.085	390.011	0.625	0.725	394	35	0.099	-0.105	59.100	0.023	0.102
62	22680	42.127	69.737	291.091	389.992	0.658	0.724	395	35	0.093	-0.118	59.250	0.024	0.100
