 	trajectory	start	end
1	1	109.050	129.750
2	22	92.250	104.550
3	115	76.800	104.850
4	151	76.800	114.300
5	176	82.650	115.350
6	276	77.250	107.100
7	307	76.650	110.850
8	318	80.100	105.300
9	379	79.650	115.050
10	470	84.150	148.950
11	533	78.900	110.700
12	589	79.800	152.250
13	608	82.650	139.950
14	656	108.300	125.700
15	657	102.300	132.600
16	663	80.700	163.350
17	716	88.650	116.850
18	736	94.350	150.900
19	964	80.550	126.150
20	1532	103.650	127.350
21	1570	118.950	184.350
22	1617	177.150	213.900
23	1621	137.100	191.550
24	1664	158.550	228.000
25	1678	131.100	165.750
26	1682	134.700	158.100
27	1695	132.600	155.550
28	1725	144.150	154.200
29	1744	150.000	176.550
30	1847	193.200	209.850
