 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	2145	19.395	58.482	695.250	859.219	0.584	0.599	601	2	-0.061	0.107	90.150	0.000	0.000
2	2146	19.459	57.571	695.214	859.114	0.610	0.563	602	2	-0.150	-0.066	90.300	0.063	0.122
3	2147	19.113	54.141	695.216	859.016	0.557	0.619	603	2	-0.117	-0.211	90.450	0.045	0.159
4	2148	19.158	58.915	695.227	858.969	0.563	0.600	604	2	-0.094	-0.280	90.600	0.038	0.172
5	2149	18.864	58.293	695.205	858.970	0.590	0.580	605	2	-0.130	-0.306	90.750	0.034	0.172
6	2150	19.731	54.231	695.227	859.033	0.552	0.605	606	2	-0.110	-0.200	90.900	0.031	0.155
7	2151	19.604	56.076	695.248	859.058	0.600	0.606	607	2	-0.080	-0.155	91.050	0.030	0.142
8	2152	19.591	55.226	695.259	859.054	0.580	0.585	608	2	-0.048	-0.147	91.200	0.035	0.131
9	2153	19.173	62.775	695.208	859.050	0.549	0.611	609	2	-0.139	-0.166	91.350	0.035	0.123
10	2154	19.350	58.674	695.211	859.061	0.556	0.608	610	2	-0.114	-0.136	91.500	0.033	0.116
11	2155	19.567	56.842	695.237	859.070	0.548	0.603	611	2	-0.074	-0.142	91.650	0.033	0.110
12	2156	19.874	59.030	695.264	858.989	0.549	0.594	612	2	-0.058	-0.240	91.800	0.034	0.108
13	2157	19.250	57.165	695.272	859.139	0.546	0.600	613	2	-0.040	-0.024	91.950	0.036	0.110
14	2158	19.163	59.695	695.205	859.155	0.550	0.571	614	2	-0.123	0.022	92.100	0.036	0.115
15	2159	19.290	60.511	695.253	859.090	0.564	0.586	615	2	-0.053	-0.102	92.250	0.036	0.112
16	2160	19.506	66.399	695.303	859.058	0.509	0.572	616	2	-0.006	-0.133	92.400	0.041	0.108
17	2161	19.245	33.444	695.177	857.088	0.655	-0.797	617	2	-0.208	-3.259	92.550	0.049	0.765
18	2162	18.976	53.898	695.176	859.144	0.605	0.590	618	2	-0.182	0.043	92.700	0.052	0.747
19	2163	19.439	57.066	695.247	859.089	0.546	0.599	619	2	-0.096	-0.058	92.850	0.051	0.728
20	2164	19.656	60.848	695.259	859.052	0.505	0.589	620	2	-0.061	-0.154	93.000	0.050	0.709
21	2165	19.045	55.711	695.211	859.063	0.612	0.624	621	2	-0.136	-0.130	93.150	0.050	0.704
