 	trajectory	start	end
1	117	88.200	96.600
2	121	81.900	104.850
3	172	87.300	107.850
4	218	82.200	88.350
5	255	81.900	115.500
6	284	83.400	124.800
7	301	81.150	105.900
8	351	82.650	112.050
9	467	80.400	97.200
10	473	87.300	118.650
11	476	82.200	109.050
12	495	116.400	148.950
13	520	82.350	98.550
14	569	83.400	114.600
15	575	82.500	107.250
16	621	84.150	113.100
17	625	83.250	93.300
18	638	87.600	105.750
19	676	84.600	105.000
20	710	89.850	118.350
21	777	90.150	126.750
22	791	85.350	104.100
23	845	99.150	132.300
24	932	85.500	106.950
25	944	94.350	103.200
26	951	83.400	102.000
27	971	85.050	104.850
28	1069	82.650	99.300
29	1114	88.650	104.700
30	1190	86.700	109.200
31	1197	92.100	96.150
32	1242	83.100	92.100
33	1467	98.100	115.950
34	1650	115.350	125.400
35	1672	127.050	153.150
36	1695	138.150	160.350
37	1705	160.500	177.000
