 	trajectory	start	end
1	36	83.100	112.050
2	92	81.450	100.500
3	158	83.250	105.900
4	213	80.550	113.400
5	222	100.800	114.600
6	250	89.850	103.800
7	261	83.100	102.150
8	270	91.800	100.050
9	287	83.250	139.950
10	297	81.150	91.050
11	302	82.350	99.300
12	306	91.350	104.100
13	412	103.950	133.500
14	435	83.100	108.000
15	447	81.750	100.050
16	496	82.650	104.100
17	508	81.450	99.750
18	549	84.900	101.700
19	553	88.800	98.700
20	592	80.100	94.650
21	604	85.500	108.450
22	618	88.350	105.900
23	639	113.400	128.100
24	647	81.900	99.900
25	667	82.950	96.750
26	680	94.050	108.600
27	713	82.650	101.250
28	714	89.700	108.750
29	732	84.750	98.400
30	741	90.450	123.000
31	742	94.500	108.150
32	749	85.050	105.600
33	817	90.900	110.700
34	872	92.400	105.750
35	880	90.300	111.450
36	881	88.050	101.850
37	891	83.550	95.700
38	895	85.350	100.650
39	905	83.550	96.150
40	914	82.800	94.200
41	920	80.550	97.950
42	930	82.350	110.400
43	937	81.900	104.400
44	975	90.300	106.650
45	983	80.550	101.100
46	986	80.400	106.950
47	992	81.150	118.650
48	1015	85.800	95.250
49	1030	81.450	126.600
50	1036	81.150	97.200
51	1048	82.050	109.350
52	1063	84.150	122.850
53	1089	85.050	113.850
54	1094	85.050	102.150
55	1100	84.300	109.650
56	1101	85.500	97.650
57	1105	99.450	147.600
58	1109	97.050	133.650
59	1132	89.250	100.350
60	1145	81.300	96.450
61	1211	83.250	100.650
62	1275	82.050	102.300
63	1285	87.900	119.100
64	1289	81.450	96.750
65	1294	86.700	125.700
66	1335	85.500	117.450
67	1338	82.350	101.400
68	1355	87.000	129.000
69	1358	87.150	104.250
70	1368	85.050	99.900
71	1369	91.500	116.400
72	1379	86.250	117.750
73	1382	100.200	128.550
74	1397	93.750	108.600
75	1421	84.600	114.600
76	1439	82.650	97.950
77	1476	87.300	126.600
78	1478	84.900	108.150
79	1503	90.900	114.600
80	1543	92.850	139.800
81	1551	89.700	123.750
82	1554	83.400	97.500
83	1570	83.250	97.950
84	1621	84.150	107.850
85	1639	83.400	106.350
86	1643	85.500	114.000
87	1644	84.900	103.650
88	1651	84.750	100.050
89	1656	96.750	153.000
90	1708	86.400	103.050
91	1749	90.600	98.550
92	1779	82.800	108.900
93	1781	84.450	115.050
94	1811	80.700	99.750
95	1839	80.700	95.850
96	1853	82.050	122.700
97	1933	83.850	104.250
98	1960	83.700	89.850
99	1976	88.050	112.050
100	2000	95.400	125.400
101	2007	90.150	103.500
102	2076	99.450	115.050
103	2094	101.700	114.300
104	2153	122.850	150.000
105	2193	158.100	176.550
106	2233	153.750	168.150
