 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	15747	49.434	123.209	2356.903	1778.866	0.582	0.565	534	53	0.040	-0.016	80.100	0.000	0.000
2	15748	49.622	123.992	2356.907	1778.901	0.583	0.564	535	53	0.027	0.042	80.250	0.009	0.041
3	15749	49.582	124.382	2356.867	1778.952	0.586	0.564	536	53	-0.032	0.122	80.400	0.038	0.069
4	15750	49.764	128.374	2356.861	1778.943	0.568	0.552	537	53	-0.035	0.082	80.550	0.039	0.059
5	15751	49.835	119.734	2356.880	1778.948	0.598	0.553	538	53	-0.006	0.101	80.700	0.034	0.054
6	15752	49.763	129.621	2356.862	1778.900	0.568	0.542	539	53	-0.026	-0.002	80.850	0.032	0.056
7	15753	49.234	125.902	2356.848	1778.900	0.597	0.562	540	53	-0.043	0.003	81.000	0.033	0.055
8	15754	49.613	128.220	2356.851	1779.028	0.576	0.566	541	53	-0.027	0.197	81.150	0.031	0.073
9	15755	49.418	122.064	2356.871	1779.064	0.581	0.571	542	53	-0.018	0.251	81.300	0.029	0.092
10	15756	49.419	127.134	2356.940	1779.056	0.585	0.565	543	53	0.109	0.250	81.450	0.047	0.101
11	15757	49.679	124.054	2356.882	1779.087	0.570	0.566	544	53	0.037	0.282	81.600	0.046	0.110
12	15758	49.986	127.499	2356.865	1779.058	0.585	0.556	545	53	-1.000E-4	0.222	81.750	0.044	0.109
13	15759	49.904	124.882	2356.855	1779.035	0.580	0.568	546	53	-0.030	0.178	81.900	0.043	0.105
14	15760	49.785	126.120	2356.924	1778.948	0.587	0.550	547	53	0.099	0.014	82.050	0.049	0.106
15	15761	50.041	128.968	2356.919	1779.028	0.563	0.564	548	53	0.096	0.160	82.200	0.053	0.102
16	15762	49.177	124.223	2356.812	1779.009	0.593	0.563	549	53	-0.030	0.096	82.350	0.052	0.099
17	15763	49.398	124.811	2356.797	1778.952	0.581	0.553	550	53	-0.085	0.003	82.500	0.055	0.100
18	15764	49.594	127.888	2356.867	1778.992	0.580	0.561	551	53	0.021	0.062	82.650	0.054	0.098
19	15765	49.618	124.436	2356.913	1778.972	0.583	0.576	552	53	0.101	0.050	82.800	0.057	0.097
20	15766	49.585	122.313	2356.883	1779.036	0.587	0.572	553	53	0.035	0.134	82.950	0.056	0.094
21	15767	49.888	123.945	2356.806	1779.057	0.574	0.557	554	53	-0.077	0.165	83.100	0.058	0.090
22	15768	49.447	125.020	2356.903	1778.983	0.573	0.566	555	53	0.067	0.029	83.250	0.060	0.091
23	15769	49.769	124.720	2356.896	1779.122	0.564	0.573	556	53	0.058	0.294	83.400	0.060	0.099
24	15770	49.773	120.612	2356.846	1779.093	0.588	0.550	557	53	-0.013	0.229	83.550	0.059	0.100
25	15771	49.639	130.244	2356.849	1778.977	0.593	0.548	558	53	-0.018	0.064	83.700	0.060	0.101
26	15772	50.128	122.943	2356.880	1779.014	0.591	0.557	559	53	0.019	0.117	83.850	0.059	0.096
27	15773	49.531	129.824	2356.890	1779.129	0.568	0.552	560	53	0.021	0.280	84.000	0.057	0.096
28	15774	49.460	126.259	2356.901	1779.084	0.583	0.574	561	53	0.027	0.226	84.150	0.056	0.096
29	15775	49.813	126.263	2356.886	1778.950	0.583	0.555	562	53	0.005	0.021	84.300	0.056	0.098
30	15776	49.592	124.551	2356.885	1779.010	0.599	0.560	563	53	0.008	0.112	84.450	0.052	0.095
31	15777	49.687	130.961	2356.901	1779.075	0.563	0.558	564	53	0.038	0.227	84.600	0.052	0.092
32	15778	49.462	123.014	2356.894	1779.049	0.599	0.586	565	53	0.021	0.184	84.750	0.052	0.090
33	15779	49.489	121.354	2356.912	1778.946	0.595	0.569	566	53	0.034	0.026	84.900	0.051	0.092
34	15780	49.901	126.818	2356.875	1778.962	0.580	0.564	567	53	-0.019	0.061	85.050	0.048	0.090
35	15781	49.395	126.762	2356.863	1779.010	0.581	0.563	568	53	-0.045	0.128	85.200	0.046	0.090
36	15782	49.958	121.960	2356.885	1779.013	0.584	0.563	569	53	0.010	0.146	85.350	0.045	0.089
37	15783	49.585	124.551	2356.879	1778.822	0.592	0.553	570	53	-0.011	-0.170	85.500	0.039	0.108
38	15784	49.693	124.994	2356.868	1778.904	0.566	0.554	571	53	-0.024	-0.048	85.650	0.040	0.114
39	15785	49.756	123.556	2356.884	1778.920	0.579	0.550	572	53	0.027	0.006	85.800	0.035	0.116
40	15786	49.849	122.732	2356.896	1778.980	0.586	0.567	573	53	0.013	0.059	85.950	0.034	0.116
41	15787	49.599	129.592	2356.860	1779.019	0.576	0.557	574	53	-0.043	0.123	86.100	0.030	0.116
42	15788	49.945	126.537	2356.826	1779.064	0.581	0.555	575	53	-0.110	0.205	86.250	0.037	0.116
43	15789	49.810	121.047	2356.823	1779.067	0.586	0.577	576	53	-0.093	0.200	86.400	0.040	0.110
44	15790	49.502	124.384	2356.888	1779.107	0.582	0.563	577	53	0.008	0.261	86.550	0.040	0.112
