Force	Velocity	SD	SEM	n	
-3.3	0.4308846153846154	0.2479493665773794	0.03438439057359841	52
-3	0.6177272727272728	0.2737981450675374	0.0369189343494449	55
-2.7	0.5415200000000001	0.3004958676695679	0.03469827401787904	75
-2.4	0.5486621621621622	0.4043987343661017	0.04701039798104832	74
-2.1	0.5686605504587158	0.2362649650437017	0.0226300793795714	109
-1.8	0.6092923076923075	0.3967930248776212	0.03480105044740112	130
-1.5	0.5975522388059704	0.3260381122415719	0.02816540307016455	134
-1.2	0.7210955882352942	0.5453117610332028	0.04676009773938208	136
-0.9000000000000004	0.6651607142857142	0.4147803881856504	0.03200100169781137	168
-0.6000000000000003	0.7033750000000001	0.3186344813297953	0.05038053510342751	40
0.6000000000000003	0.5100222222222223	0.2108395004487892	0.03143009702303933	45
0.9000000000000001	0.5055205479452055	0.1679149299877802	0.01389673848421412	146
1.2	0.4585467625899282	0.2027476915296513	0.01719683474736199	139
1.5	0.4081153846153848	0.1539797205557659	0.01232824418800901	156
1.8	0.3984736842105264	0.17310433814805	0.01404061586913838	152
2.1	0.4037142857142856	0.1668971551390218	0.01287639506854701	168
2.4	0.3568145161290321	0.1354031839603236	0.01215956487529044	124
2.7	0.3194649122807017	0.149629996745634	0.01401413319389759	114
3	0.2716021505376344	0.1379385606604043	0.01430356242454818	93
3.3	0.2502	0.1203428435761761	0.01553619430019248	60
