 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	Length
1	22	51.853	18.635	40.303	38.714	112.667	150.500	447.500	0	0	21.024	140	447	21	1	0	0	-2.726	0.625	21.024	1140.762	0	0	0	0	1140.762	1	140	447	177.274	0.083	0	0	NaN	21.024
2	23	51.075	14.668	44.847	43.396	92.917	77.250	515.750	0	0	21.506	67	516	22	1	0	0	-2.603	0.625	21	1174.728	0	0	0	0	1174.728	1	67	516	0	0	0	0	NaN	21.506
3	20	61.266	31.432	41.947	40.737	164.667	130.500	578.750	0	0	19.059	121	578	19	2	0	0	3.013	0.692	19.105	1225.316	0	0	0	0	1225.316	1	121	580	6.009	0.003	0	0	NaN	19.059
4	22	45.788	14.294	39.044	38	86.583	244	517.500	0	0	21	234	518	21	0	0	0	0	0.627	21	1007.333	0	0	0	0	1007.333	1	234	518	0	0	0	0	NaN	21
5	23	56.691	33.282	43.395	41.124	170.333	519.750	491.250	0	0	21.506	509	491	22	1	0	0	0	0.625	22.023	1303.891	0	0	0	0	1303.891	1	509	492	2.603	0.039	0	0	NaN	21.506
6	23	48.955	12.859	42.438	41.818	87.167	525.750	596.500	0	0	21.500	515	597	22	0	0	0	0	0.625	22	1125.970	0	0	0	0	1125.970	1	515	597	0	0	0	0	NaN	21.500
7	21	59.881	29.282	41.441	41.200	164.667	130.250	579.250	0	0	19.660	121	578	20	3	0	0	5.711	0.683	19.235	1257.504	0	0	0	0	1257.504	1	121	581	8.973	0.009	0	0	NaN	19.660
8	22	46.584	10.950	40.843	40.524	73.250	135	811.750	0	0	21.006	125	812	21	1	0	0	-2.726	0.627	21	1024.837	0	0	0	0	1024.837	1	125	812	0	0	0	0	NaN	21.006
9	23	57.804	37.675	39.757	38.341	183.333	153.250	1056.750	0	0	21.506	143	1057	22	1	0	0	-2.603	0.625	21	1329.496	0	0	0	0	1329.496	1	143	1057	0	0	0	0	NaN	21.506
10	8	83.741	38.669	50.430	50.218	159.083	685.750	949.750	0	0	6.519	683	950	7	1	0	0	-8.130	1	6	669.932	0	0	0	0	669.932	1	683	950	0	0	0	0	NaN	6.519
