 	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory
1	25.081	42.142	1716.934	111.825	1	1	200	0
2	25.229	41.213	1716.944	111.802	1	1	201	0
3	24.919	41.811	1716.934	111.803	1	1	202	0
4	25.187	40.481	1716.944	111.691	1	1	203	0
5	25.186	40.993	1716.911	111.800	1	1	204	0
6	25.194	41.963	1716.935	111.871	1	1	205	0
7	25.271	40.971	1716.963	111.794	1	1	206	0
8	24.751	42.553	1716.944	111.897	1	1	207	0
9	24.879	41.709	1716.939	111.977	1	1	208	0
10	25.014	41.771	1716.964	111.948	1	1	209	0
11	25.092	42.439	1716.954	111.843	1	1	210	0
12	25.179	42.397	1716.950	111.898	1	1	211	0
13	25.239	41.446	1716.970	111.981	1	1	212	0
14	25.046	42.319	1716.955	111.873	1	1	213	0
15	25.119	41.661	1716.948	111.747	1	1	214	0
16	25.188	41.849	1716.979	111.897	1	1	215	0
17	25.267	42.348	1716.957	111.914	1	1	216	0
18	25.093	42.591	1716.966	111.973	1	1	217	0
19	25.347	41.241	1716.957	111.994	1	1	218	0
20	25.449	40.929	1717.007	112.058	1	1	219	0
21	25.183	41.889	1716.967	112.121	1	1	220	0
22	24.901	42.333	1716.973	111.976	1	1	221	0
23	24.951	41.788	1716.964	111.953	1	1	222	0
24	25.078	42.701	1716.994	112.002	1	1	223	0
25	25.224	42.523	1716.994	111.873	1	1	224	0
26	25.210	41.038	1717.027	111.857	1	1	225	0
27	25.097	41.369	1716.997	111.781	1	1	226	0
28	24.988	42.289	1716.999	111.937	1	1	227	0
29	25.173	43.076	1716.975	112.009	1	1	228	0
30	25.153	42.440	1716.990	111.899	1	1	229	0
31	25.112	43.712	1716.986	111.961	1	1	230	0
32	24.973	43.205	1716.981	111.963	1	1	231	0
33	24.844	41.821	1716.980	111.999	1	1	232	0
34	24.854	42.061	1716.980	111.975	1	1	233	0
35	25.211	42.786	1716.976	111.949	1	1	234	0
36	25.224	42.048	1716.936	111.978	1	1	235	0
37	24.940	42.510	1716.980	111.974	1	1	236	0
38	24.824	42.299	1716.952	111.999	1	1	237	0
39	24.657	42.328	1716.938	112.018	1	1	238	0
40	24.992	41.465	1716.912	111.975	1	1	239	0
41	24.922	42.168	1716.950	111.988	1	1	240	0
42	25.276	41.477	1716.966	111.983	1	1	241	0
43	25.024	42.329	1716.947	112.014	1	1	242	0
44	24.719	41.524	1716.948	111.966	1	1	243	0
45	24.819	42.177	1716.961	111.999	1	1	244	0
46	24.984	42.320	1716.945	111.991	1	1	245	0
47	25.117	42.083	1716.939	111.983	1	1	246	0
48	24.716	42.822	1716.953	111.982	1	1	247	0
49	24.761	41.678	1716.961	111.970	1	1	248	0
50	24.930	42.105	1716.966	111.979	1	1	249	0
51	25.001	42.353	1716.944	111.987	1	1	250	0
52	25.117	41.448	1716.970	112.000	1	1	251	0
53	24.794	42.377	1716.943	111.932	1	1	252	0
54	24.697	41.062	1716.960	111.987	1	1	253	0
55	25.014	41.769	1716.918	111.990	1	1	254	0
56	24.881	42.335	1716.937	111.972	1	1	255	0
57	24.922	42.806	1716.959	111.996	1	1	256	0
58	25.097	43.668	1716.964	111.987	1	1	257	0
59	25.060	41.257	1716.918	111.998	1	1	258	0
60	25.074	41.943	1716.969	111.997	1	1	259	0
61	24.686	42.258	1716.940	112.021	1	1	260	0
62	24.942	42.176	1716.941	112.028	1	1	261	0
63	24.875	41.581	1716.971	111.991	1	1	262	0
64	24.979	42.841	1716.904	111.994	1	1	263	0
65	25.227	42.496	1716.951	112.012	1	1	264	0
66	24.820	41.372	1716.931	112.023	1	1	265	0
67	24.977	40.943	1716.938	111.986	1	1	266	0
68	24.802	42.787	1716.940	112.020	1	1	267	0
69	24.989	41.807	1716.914	112.016	1	1	268	0
70	25.025	42.481	1716.949	112.024	1	1	269	0
71	24.889	42.266	1716.934	112.037	1	1	270	0
72	24.941	41.706	1716.911	111.977	1	1	271	0
73	24.972	42.418	1716.965	111.969	1	1	272	0
74	24.791	42.560	1716.882	111.961	1	1	273	0
75	25.053	42.104	1716.904	111.975	1	1	274	0
76	24.943	41.852	1716.897	111.988	1	1	275	0
77	24.715	41.872	1716.935	112.002	1	1	276	0
78	25.066	40.884	1716.916	111.978	1	1	277	0
79	24.759	42.486	1716.921	111.987	1	1	278	0
80	24.867	40.847	1716.916	111.980	1	1	279	0
81	24.866	41.810	1716.919	111.947	1	1	280	0
82	24.762	43.421	1716.925	111.972	1	1	281	0
83	24.830	42.890	1716.947	112.009	1	1	282	0
84	24.707	43.689	1716.988	112.005	1	1	283	0
85	24.973	41.296	1716.916	111.977	1	1	284	0
86	24.788	42.260	1716.943	111.995	1	1	285	0
87	24.724	42.922	1716.935	111.975	1	1	286	0
88	25.046	41.047	1716.918	111.990	1	1	287	0
89	25.060	42.527	1716.934	111.966	1	1	288	0
90	24.671	41.420	1716.941	112.026	1	1	289	0
91	24.879	40.912	1716.935	111.991	1	1	290	0
92	24.723	43.085	1716.929	112.003	1	1	291	0
93	24.938	42.202	1716.915	112.006	1	1	292	0
94	24.801	41.364	1716.922	112.017	1	1	293	0
95	24.950	41.793	1716.895	112.006	1	1	294	0
96	24.702	41.658	1716.928	111.980	1	1	295	0
97	24.922	41.375	1716.897	111.995	1	1	296	0
98	24.853	42.229	1716.955	111.975	1	1	297	0
99	24.740	41.522	1716.915	111.969	1	1	298	0
100	24.860	40.747	1716.939	112.026	1	1	299	0
101	24.826	41.328	1716.936	112.004	1	1	300	0
102	24.742	41.823	1716.980	112.022	1	1	301	0
103	25.015	41.924	1716.936	111.978	1	1	302	0
104	24.946	41.824	1716.960	112.047	1	1	303	0
105	24.716	41.711	1716.945	112.014	1	1	304	0
106	24.756	41.396	1716.946	112.038	1	1	305	0
107	24.801	41.519	1716.981	112.040	1	1	306	0
108	24.920	42.024	1716.974	112.059	1	1	307	0
109	25.139	41.591	1716.939	112.051	1	1	308	0
110	24.743	42.452	1716.939	112.036	1	1	309	0
111	24.821	42.478	1716.930	112.054	1	1	310	0
112	24.955	41.751	1716.944	112.056	1	1	311	0
113	25.072	40.684	1716.935	112.043	1	1	312	0
114	24.861	42.807	1716.955	112.034	1	1	313	0
115	25.034	40.976	1716.961	112.045	1	1	314	0
116	24.989	42.125	1716.941	112.033	1	1	315	0
117	24.887	42.443	1716.936	112.025	1	1	316	0
118	24.937	40.306	1716.933	111.991	1	1	317	0
119	24.862	41.365	1716.965	112.061	1	1	318	0
120	24.896	41.257	1716.928	112.012	1	1	319	0
121	25.122	40.611	1716.939	111.999	1	1	320	0
122	24.944	41.525	1716.955	112.032	1	1	321	0
123	25.047	41.829	1716.945	111.998	1	1	322	0
124	24.846	42.285	1716.949	112.009	1	1	323	0
125	24.812	41.440	1716.909	111.998	1	1	324	0
126	24.733	41.256	1716.933	111.984	1	1	325	0
